SKU,NAME,PO#1,Quantity Ordered1,Shipping Date1,ETA ATL1,PO#2,Quantity Ordered2,Shipping Date2,ETA ATL2,PO#3,Quantity Ordered3,Shipping Date3,ETA ATL3,PO#4,Quantity Ordered4,Shipping Date4,ETA ATL4
70001,,,,,,,,,,,,,,,,,
CONTINUOUS LOOP CORD,Continuous Loop Cord Mechanism,,,,,,,,,,,,,,,,
HOOKS,Hooks for Drapes,,,,,,,,,,,,,,,,
TEST  BEDDING,,,,,,,,,,,,,,,,,
RR00- MISC,Rollar Shade,,,,,,,,,,,,,,,,
PTFFLK-C23B-SW,Filigree Pearl Flocked Faux Silk Swatch,,,,,,,,,,,,,,,,
BN-SCY22VET1206-120,Banded Cayenne Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-SCY22VET1206-SW,Banded Cayenne Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-SG17VET1206-84,Banded Silver Grey Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-SG17VET1206-96,Banded Silver Grey Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-SG17VET1206-108,Banded Silver Grey Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-SG17VET1206-120,Banded Silver Grey Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-SG17VET1206-SW,Banded Silver Grey Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-SMB19VET1206-84,Banded Midnight Black Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-SMB19VET1206-96,Banded Midnight Black Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-SMB19VET1206-108,Banded Midnight Black Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-SMB19VET1206-120,Banded Midnight Black Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-SMB19VET1206-SW,Banded Midnight Black Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-SMR04VET1206-84,Banded Merlot Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-SMR04VET1206-96,Banded Merlot Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-SMR04VET1206-108,Banded Merlot Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-SMR04VET1206-120,Banded Merlot Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-SMR04VET1206-SW,Banded Merlot Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-SPW28VET1206-84,Banded Pearl White Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-SPW28VET1206-96,Banded Pearl White Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-SPW28VET1206-108,Banded Pearl White Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-SPW28VET1206-120,Banded Pearl White Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-SPW28VET1206-SW,Banded Pearl White Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-STG16VET1206-84,Banded Taupe Gold Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-STG16VET1206-96,Banded Taupe Gold Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-STG16VET1206-108,Banded Taupe Gold Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-STG16VET1206-120,Banded Taupe Gold Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BN-STG16VET1206-SW,Banded Taupe Gold Thai Silk With Kona Brown,,,,,,,,,,,,,,,,
BOCH-120601-63,Egg Nog Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-120601-84,Egg Nog Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-120601-96,Egg Nog Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-120601-108,Egg Nog Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-120601-120,Egg Nog Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-120601-84-DW,Eggnog Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-120601-96-DW,Eggnog Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-120601-108-DW,Eggnog Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-120601-120-DW,Eggnog Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-120601-DW-SW,Eggnog Doublewide Blackout Swatch,,,,,,,,,,,,,,,,
BOCH-120601-63-GR,Egg Nog Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-120601-84-GR,Egg Nog Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-120601-96-GR,Egg Nog Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-120601-108-GR,Egg Nog Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-120601-120-GR,Egg Nog Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-120601-84-GRDW,Eggnog Grommet Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-120601-96-GRDW,Eggnog Grommet Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-120601-108-GRDW,Eggnog Grommet Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-120601-120-GRDW,Eggnog Grommet Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-120601-SW,Egg Nog Blackout Swatch,,,,,,,,,,,,,,,,
BOCH-130932-84,Midsummer Gold Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-130932-96,Midsummer Gold Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-130932-108,Midsummer Gold Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-130932-120,Midsummer Gold Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-130932-SW,Midsummer Gold Blackout Swatch,,,,,,,,,,,,,,,,
BOCH-131009-63,Biscotti Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-131009-84,Biscotti Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-131009-96,Biscotti Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-131009-108,Biscotti Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-131009-120,Biscotti Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-131009-84-DW,Biscotti Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-131009-96-DW,Biscotti Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-131009-108-DW,Biscotti Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-131009-120-DW,Biscotti Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-131009-DW-SW,Biscotti Doublewide Blackout Swatch,,,,,,,,,,,,,,,,
BOCH-131009-63-GR,Biscotti Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-131009-84-GR,Biscotti Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-131009-96-GR,Biscotti Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-131009-108-GR,Biscotti Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-131009-120-GR,Biscotti Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-131009-84-GRDW,Biscotti Grommet Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-131009-96-GRDW,Biscotti Grommet Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-131009-108-GRDW,Biscotti Grommet Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-131009-120-GRDW,Biscotti Grommet Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-131009-SW,Biscotti Blackout Swatch,,,,,,,,,,,,,,,,
BOCH-134308-84,Frosted Blue Blackout Curtain,PO20093,90,,12/28/2017,,,,,,,,,,,,
BOCH-134308-96,Frosted Blue Blackout Curtain,PO20093,136,,12/28/2017,,,,,,,,,,,,
BOCH-134308-108,Frosted Blue Blackout Curtain,PO20093,60,,12/28/2017,,,,,,,,,,,,
BOCH-134308-120,Frosted Blue Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-134308-SW,Frosted Blue Blackout Swatch,,,,,,,,,,,,,,,,
BOCH-144105-84,Fog Grey Blackout Curtain,PO19909,130,,9/20/2017,PO19619,300,,11/7/2017,,,,,,,,
BOCH-144105-96,Fog Grey Blackout Curtain,PO19909,140,,9/20/2017,PO19619,220,,11/7/2017,,,,,,,,
BOCH-144105-108,Fog Grey Blackout Curtain,PO19909,120,,9/20/2017,PO19619,360,,11/7/2017,,,,,,,,
BOCH-144105-120,Fog Grey Blackout Curtain,PO19909,80,,9/20/2017,PO19619,150,,11/7/2017,,,,,,,,
BOCH-144105-84-DW,Fog Grey Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-144105-96-DW,Fog Grey Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-144105-108-DW,Fog Grey Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-144105-120-DW,Fog Grey Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-144105-84-GR,Fog Grey Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-144105-96-GR,Fog Grey Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-144105-108-GR,Fog Grey Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-144105-120-GR,Fog Grey Grommet Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-144105-84-GRDW,Fog Grey Grommet Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-144105-96-GRDW,Fog Grey Grommet Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-144105-108-GRDW,Fog Grey Grommet Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-144105-120-GRDW,Fog Grey Grommet Doublewide Blackout Curtain,,,,,,,,,,,,,,,,
BOCH-144105-SW,Fog Grey Blackout Swatch,,,,,,,,,,,,,,,,
BOCH-151304-84,Classic Taupe Blackout Curtain,PO19390,130,8/20/2017,10/5/2017,,,,,,,,,,,,
