Fabric Code,Name,Safety Lock,Min Alert Qty,Delivery Days,Per Yard Retail Price
DIS-ID1-FB,"Lily White Textured Dupioni Silk Fabric","0","0","0","0.0000","",""
DIS-ID112-FB,"Chili Pepper Textured Dupioni Silk Fabric","0","0","0","0.0000","",""
DIS-ID124-FB,"Chocolate Textured Dupioni Silk Fabric","0","0","0","0.0000","",""
DIS-ID15-FB,"Biscotti Textured Dupioni Silk Fabric","0","0","0","0.0000","",""
DIS-ID20-FB,"Sunrise Gold Textured Dupioni Silk Fabric","0","0","0","0.0000","",""
DIS-ID221-FB,"Navy Textured Dupioni Silk Fabric","0","0","0","0.0000","",""
DIS-ID224-FB,"Black Textured Dupioni Silk Fabric","0","0","0","0.0000","",""
DIS-ID37-FB,"Restful Green Textured Dupioni Silk Fabric","0","0","0","0.0000","",""
DIS-ID50-FB,"Mocha Textured Dupioni Silk Fabric","0","0","0","0.0000","",""
DIS-ID511-FB,"Silver Bell Textured Dupioni Silk Fabric","0","0","0","0.0000","",""
DIS-ID68-FB,"Shoreline Textured Dupioni Silk Fabric","0","0","0","0.0000","",""
DIS-ID7727-FB,"Pearl Textured Dupioni Silk Fabric","0","0","0","0.0000","",""
DIS-ID7806-FB,"Cashmere Textured Dupioni Silk Fabric","0","0","0","0.0000","",""
DIS-ID7906-FB,"Winter Blue Textured Dupioni Silk Fabric","0","0","0","0.0000","",""
DIS-ID9-FB,"Maplewood Textured Dupioni Silk Fabric","0","0","0","0.0000","",""

