SKU,UPC,Price,BaseCustomPrice
BOCH-201303-96-GR,"799665815059","34.0000","34.0000"
BOCH-201304-108,"799665815103","39.0000","39.0000"
BOCH-201304-108-GR,"799665815141","39.0000","39.0000"
BOCH-201304-120,"799665815110","44.0000","44.0000"
BOCH-201304-120-GR,"799665815158","44.0000","44.0000"
BOCH-201304-63,"799665815080","29.0000","29.0000"
BOCH-201304-84-GR,"799665815127","29.0000","29.0000"
BOCH-201304-96,"799665815097","34.0000","34.0000"
BOCH-201304-96-GR,"799665815134","34.0000","34.0000"
BOCH-201305-108,"799665815189","39.0000","39.0000"
BOCH-201305-108-GR,"799665815226","39.0000","39.0000"
BOCH-201305-120,"799665815196","44.0000","44.0000"
BOCH-201305-120-GR,"799665815233","44.0000","44.0000"
BOCH-201305-84,"799665815165","29.0000","29.0000"
BOCH-201305-84-GR,"799665815202","29.0000","29.0000"
BOCH-201305-96,"799665815172","34.0000","34.0000"
BOCH-201305-96-GR,"799665815219","34.0000","34.0000"
BOCH-KC1-108,"610395225591","59.9900","59.9900"
BOCH-KC1-120,"610395225607","64.9900","64.9900"
BOCH-KC1-84,"610395225577","49.9900","49.9900"
BOCH-KC1-96,"610395225584","54.9900","54.9900"
BOCH-KC20-108,"799665825089","64.9900","64.9900"
BOCH-KC20-120,"799665825072","69.9900","69.9900"
BOCH-KC20-84,"799665825058","54.9900","54.9900"
BOCH-KC20-96,"799665825065","59.9900","59.9900"
BOCH-KC21-108,"799665825164","64.9900","64.9900"
BOCH-KC21-120,"799665825157","69.9900","69.9900"
BOCH-KC21-84,"799665825133","54.9900","54.9900"
BOCH-KC21-96,"799665825140","59.9900","59.9900"
BOCH-KC22-108,"799665825249","64.9900","64.9900"
BOCH-KC22-120,"799665825232","69.9900","69.9900"
BOCH-KC22-84,"799665825218","54.9900","54.9900"
BOCH-KC22-96,"799665825225","59.9900","59.9900"
BOCH-KC23-108,"799665825324","64.9900","64.9900"
BOCH-KC23-120,"799665825317","69.9900","69.9900"
BOCH-KC23-84,"799665825294","54.9900","54.9900"
BOCH-KC23-96,"799665825300","59.9900","59.9900"
BOCH-KC24-108,"799665825409","64.9900","64.9900"
BOCH-KC24-120,"799665825393","69.9900","69.9900"
BOCH-KC24-84,"799665825379","54.9900","54.9900"
BOCH-KC24-96,"799665825386","59.9900","59.9900"
BOCH-KC25-108,"799665825485","64.9900","64.9900"
BOCH-KC25-120,"799665825478","69.9900","69.9900"
BOCH-KC25-84,"799665825454","54.9900","54.9900"
BOCH-KC25-96,"799665825461","59.9900","59.9900"
BOCH-KC26-108,"799665825560","64.9900","64.9900"
BOCH-KC26-120,"799665825553","69.9900","69.9900"
BOCH-KC26-84,"799665825539","54.9900","54.9900"
BOCH-KC26-96,"799665825546","59.9900","59.9900"
BOCH-KC27-108,"799665825645","64.9900","64.9900"
BOCH-KC27-120,"799665825638","69.9900","69.9900"
BOCH-KC27-84,"799665825614","54.9900","54.9900"
BOCH-KC27-96,"799665825621","59.9900","59.9900"
BOCH-KC28-108,"799665825720","64.9900","64.9900"
BOCH-KC28-120,"799665825713","69.9900","69.9900"
BOCH-KC28-84,"799665825690","54.9900","54.9900"
BOCH-KC28-96,"799665825706","59.9900","59.9900"
BOCH-KC29-108,"799665825805","64.9900","64.9900"
BOCH-KC29-120,"799665825799","69.9900","69.9900"
BOCH-KC29-84,"799665825775","54.9900","54.9900"
BOCH-KC29-96,"799665825782","59.9900","59.9900"
BOCH-KC30-108,"799665825881","64.9900","64.9900"
BOCH-KC30-120,"799665825874","69.9900","69.9900"
BOCH-KC30-84,"799665825850","54.9900","54.9900"
BOCH-KC30-96,"799665825867","59.9900","59.9900"
BOCH-KC31-108,"799665825966","64.9900","64.9900"
BOCH-KC31-120,"799665825959","69.9900","69.9900"
BOCH-KC31-84,"799665825935","54.9900","54.9900"
BOCH-KC31-96,"799665825942","59.9900","59.9900"
BOCH-KC32-108,"799665826048","64.9900","64.9900"
BOCH-KC32-120,"799665826031","69.9900","69.9900"
BOCH-KC32-84,"799665826017","54.9900","54.9900"
BOCH-KC32-96,"799665826024","59.9900","59.9900"
BOCH-KC33-108,"799665826123","59.9900","59.9900"
BOCH-KC33-120,"799665826116","64.9900","64.9900"
BOCH-KC33-84,"799665826093","49.9900","49.9900"
BOCH-KC33-96,"799665826109","54.9900","54.9900"
BOCH-KC34C-108,"799665826208","59.9900","59.9900"
BOCH-KC34C-120,"799665826192","64.9900","64.9900"
BOCH-KC34C-84,"799665826178","49.9900","49.9900"
BOCH-KC34C-96,"799665826185","54.9900","54.9900"
BOCH-KC35-108,"799665826284","64.9900","64.9900"
BOCH-KC35-120,"799665826277","69.9900","69.9900"
BOCH-KC35-84,"799665826253","54.9900","54.9900"
BOCH-KC35-96,"799665826260","59.9900","59.9900"
BOCH-KC36-108,"799665826369","64.9900","64.9900"
BOCH-KC36-120,"799665826352","69.9900","69.9900"
BOCH-KC36-84,"799665826338","54.9900","54.9900"
BOCH-KC36-96,"799665826345","59.9900","59.9900"
BOCH-KC5-108,"610395225713","59.9900","59.9900"
BOCH-KC5-120,"610395225720","64.9900","64.9900"
BOCH-KC5-84,"610395225690","49.9900","49.9900"
BOCH-KC5-96,"610395225706","54.9900","54.9900"
BOCH-KC6-108,"610395225676","59.9900","59.9900"
BOCH-KC6-108,"610395225676","59.9900","59.9900"
BOCH-KC6-120,"610395225683","64.9900","64.9900"
BOCH-KC6-120,"610395225683","64.9900","64.9900"
BOCH-KC6-84,"610395225652","49.9900","49.9900"
BOCH-KC6-84,"610395225652","49.9900","49.9900"
BOCH-KC6-96,"610395225669","54.9900","54.9900"
BOCH-KC6-96,"610395225669","54.9900","54.9900"
BOCH-KC8-108,"610395225911","59.9900","59.9900"
BOCH-KC8-120,"610395225928","64.9900","64.9900"
BOCH-KC8-84,"610395225898","49.9900","49.9900"
BOCH-KC8-96,"610395225904","54.9900","54.9900"
BOCH-KC91B-108,"610395225997","59.9900","59.9900"
BOCH-KC91B-120,"610395226000","64.9900","64.9900"
BOCH-KC91B-84,"610395225973","49.9900","49.9900"
BOCH-KC91B-96,"610395225980","54.9900","54.9900"
BOCH-PL1601-108,"799665829162","69.0000","69.0000"
BOCH-PL1601-120,"799665829155","74.0000","74.0000"
BOCH-PL1601-84,"799665829131","59.0000","59.0000"
BOCH-PL1601-96,"799665829148","64.0000","64.0000"
BOCH-PL1602-108,"799665829247","59.0000","59.0000"
BOCH-PL1602-108,"799665829247","69.0000","69.0000"
BOCH-PL1602-120,"799665829230","64.0000","64.0000"
BOCH-PL1602-120,"799665829230","74.0000","74.0000"
BOCH-PL1602-84,"799665829216","49.0000","49.0000"
BOCH-PL1602-84,"799665829216","59.0000","59.0000"
BOCH-PL1602-96,"799665829223","54.0000","54.0000"
BOCH-PL1602-96,"799665829223","64.0000","64.0000"
BOCH-PL1604-108,"799665829322","69.0000","69.0000"
BOCH-PL1604-120,"799665829315","74.0000","74.0000"
BOCH-PL1604-84,"799665829292","59.0000","59.0000"
BOCH-PL1604-96,"799665829308","64.0000","64.0000"
BOCH-PL1605-108,"799665829407","69.0000","69.0000"
BOCH-PL1605-120,"799665829391","74.0000","74.0000"
BOCH-PL1605-84,"799665829377","59.0000","59.0000"
BOCH-PL1605-96,"799665829384","64.0000","64.0000"
BOCH-PL1606-108,"799665829483","69.0000","69.0000"
BOCH-PL1606-120,"799665829476","74.0000","74.0000"
BOCH-PL1606-84,"799665829452","59.0000","59.0000"
BOCH-PL1606-96,"799665829469","64.0000","64.0000"
