SKU,SalePrice,BaseCustomPrice,DisplayOrder,Weight,Discontinue
BOCH-201305-108,"39.0000","39.0000","2","6.00","No"
BOCH-201305-108-GR,"39.0000","39.0000","3","0.00","No"
BOCH-201305-120,"44.0000","44.0000","2","6.00","No"
BOCH-201305-120-GR,"44.0000","44.0000","4","0.00","No"
BOCH-201305-84,"29.0000","29.0000","1","5.00","No"
BOCH-201305-84-GR,"29.0000","29.0000","1","0.00","No"
BOCH-201305-96,"34.0000","34.0000","2","5.00","No"
BOCH-201305-96-GR,"34.0000","34.0000","2","0.00","No"
BOCH-201305-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-201305-GR,"29.0000","0.0000","15","5.00","No"
BOCH-201305-SW,"0.9900","0.0000","999","0.05","No"
BOCH-KC1,"49.9900","0.0000","5","5.00","No"
BOCH-KC1-108,"59.9900","59.9900","2","6.00","No"
BOCH-KC1-120,"64.9900","64.9900","2","6.00","No"
BOCH-KC1-84,"49.9900","49.9900","1","5.00","No"
BOCH-KC1-96,"54.9900","54.9900","2","5.00","No"
BOCH-KC1-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-KC1-SW,"0.9900","0.0000","999","0.05","No"
BOCH-KC20,"54.9900","0.0000","14","5.00","No"
BOCH-KC20-108,"64.9900","64.9900","2","6.00","Yes"
BOCH-KC20-120,"69.9900","69.9900","2","6.00","Yes"
BOCH-KC20-84,"54.9900","54.9900","1","5.00","Yes"
BOCH-KC20-96,"59.9900","59.9900","2","5.00","Yes"
BOCH-KC20-CUS,"0.0000","0.0000","5","2.00","Yes"
BOCH-KC20-SW,"0.9900","0.0000","999","0.05","Yes"
BOCH-KC21,"54.9900","0.0000","0","5.00","No"
BOCH-KC21-108,"64.9900","64.9900","2","6.00","No"
BOCH-KC21-120,"69.9900","69.9900","2","6.00","No"
BOCH-KC21-84,"54.9900","54.9900","1","5.00","No"
BOCH-KC21-96,"59.9900","59.9900","2","5.00","No"
BOCH-KC21-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-KC21-SW,"0.9900","0.0000","999","0.05","No"
BOCH-KC22,"54.9900","0.0000","17","5.00","No"
BOCH-KC22-108,"64.9900","64.9900","2","6.00","Yes"
BOCH-KC22-120,"69.9900","69.9900","2","6.00","Yes"
BOCH-KC22-84,"54.9900","54.9900","1","5.00","Yes"
BOCH-KC22-96,"59.9900","59.9900","2","5.00","Yes"
BOCH-KC22-CUS,"0.0000","0.0000","5","2.00","Yes"
BOCH-KC22-SW,"0.9900","0.0000","999","0.05","Yes"
BOCH-KC23,"54.9900","0.0000","13","5.00","No"
BOCH-KC23-108,"64.9900","64.9900","2","6.00","No"
BOCH-KC23-120,"69.9900","69.9900","2","6.00","No"
BOCH-KC23-84,"54.9900","54.9900","1","5.00","No"
BOCH-KC23-96,"59.9900","59.9900","2","5.00","No"
BOCH-KC23-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-KC23-SW,"0.9900","0.0000","999","0.05","No"
BOCH-KC24,"54.9900","0.0000","1","5.00","No"
BOCH-KC24-108,"64.9900","64.9900","2","6.00","No"
BOCH-KC24-120,"69.9900","69.9900","2","6.00","No"
BOCH-KC24-84,"54.9900","54.9900","1","5.00","No"
BOCH-KC24-96,"59.9900","59.9900","2","5.00","No"
BOCH-KC24-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-KC24-SW,"0.9900","0.0000","999","0.05","No"
BOCH-KC25,"54.9900","0.0000","10","5.00","No"
BOCH-KC25-108,"64.9900","64.9900","2","6.00","No"
BOCH-KC25-120,"69.9900","69.9900","2","6.00","No"
BOCH-KC25-84,"54.9900","54.9900","1","5.00","No"
BOCH-KC25-96,"59.9900","59.9900","2","5.00","No"
BOCH-KC25-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-KC25-SW,"0.9900","0.0000","999","0.05","No"
BOCH-KC26,"54.9900","0.0000","9","5.00","No"
BOCH-KC26-108,"64.9900","64.9900","2","6.00","No"
BOCH-KC26-120,"69.9900","69.9900","2","6.00","No"
BOCH-KC26-84,"54.9900","54.9900","1","5.00","No"
BOCH-KC26-96,"59.9900","59.9900","2","5.00","No"
BOCH-KC26-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-KC26-SW,"0.9900","0.0000","999","0.05","No"
BOCH-KC27,"54.9900","0.0000","12","5.00","No"
BOCH-KC27-108,"64.9900","64.9900","2","6.00","No"
BOCH-KC27-120,"69.9900","69.9900","2","6.00","No"
BOCH-KC27-84,"54.9900","54.9900","1","5.00","No"
BOCH-KC27-96,"59.9900","59.9900","2","5.00","No"
BOCH-KC27-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-KC27-SW,"0.9900","0.0000","999","0.05","No"
BOCH-KC28,"54.9900","0.0000","19","5.00","No"
BOCH-KC28-108,"64.9900","64.9900","2","6.00","Yes"
BOCH-KC28-120,"69.9900","69.9900","2","6.00","Yes"
BOCH-KC28-84,"54.9900","54.9900","1","5.00","Yes"
BOCH-KC28-96,"59.9900","59.9900","2","5.00","Yes"
BOCH-KC28-CUS,"0.0000","0.0000","5","2.00","Yes"
BOCH-KC28-SW,"0.9900","0.0000","999","0.05","Yes"
BOCH-KC29,"54.9900","0.0000","18","5.00","No"
BOCH-KC29-108,"64.9900","64.9900","2","6.00","Yes"
BOCH-KC29-120,"69.9900","69.9900","2","6.00","Yes"
BOCH-KC29-84,"54.9900","54.9900","1","5.00","Yes"
BOCH-KC29-96,"59.9900","59.9900","2","5.00","Yes"
BOCH-KC29-CUS,"0.0000","0.0000","5","2.00","Yes"
BOCH-KC29-SW,"0.9900","0.0000","999","0.05","Yes"
BOCH-KC30,"54.9900","0.0000","8","5.00","No"
BOCH-KC30-108,"64.9900","64.9900","2","6.00","No"
BOCH-KC30-120,"69.9900","69.9900","2","6.00","No"
BOCH-KC30-84,"54.9900","54.9900","1","5.00","No"
BOCH-KC30-96,"59.9900","59.9900","2","5.00","No"
BOCH-KC30-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-KC30-SW,"0.9900","0.0000","999","0.05","No"
BOCH-KC31,"54.9900","0.0000","7","5.00","No"
BOCH-KC31-108,"64.9900","64.9900","2","6.00","No"
BOCH-KC31-120,"69.9900","69.9900","2","6.00","No"
BOCH-KC31-84,"54.9900","54.9900","1","5.00","No"
BOCH-KC31-96,"59.9900","59.9900","2","5.00","No"
BOCH-KC31-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-KC31-SW,"0.9900","0.0000","999","0.05","No"
BOCH-KC32,"54.9900","0.0000","15","5.00","No"
BOCH-KC32-108,"64.9900","64.9900","2","6.00","Yes"
BOCH-KC32-120,"69.9900","69.9900","2","6.00","Yes"
BOCH-KC32-84,"54.9900","54.9900","1","5.00","Yes"
BOCH-KC32-96,"59.9900","59.9900","2","5.00","Yes"
BOCH-KC32-CUS,"0.0000","0.0000","5","2.00","Yes"
BOCH-KC32-SW,"0.9900","0.0000","999","0.05","Yes"
BOCH-KC33,"49.9900","0.0000","6","5.00","No"
BOCH-KC33-108,"59.9900","59.9900","2","6.00","No"
BOCH-KC33-120,"64.9900","64.9900","2","6.00","No"
BOCH-KC33-84,"49.9900","49.9900","1","5.00","No"
BOCH-KC33-96,"54.9900","54.9900","2","5.00","No"
BOCH-KC33-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-KC33-SW,"0.9900","0.0000","999","0.05","No"
BOCH-KC34C,"49.9900","0.0000","0","5.00","No"
BOCH-KC34C-108,"59.9900","59.9900","3","6.00","Yes"
BOCH-KC34C-120,"64.9900","64.9900","4","6.00","Yes"
BOCH-KC34C-84,"49.9900","49.9900","1","5.00","Yes"
BOCH-KC34C-96,"54.9900","54.9900","2","5.00","Yes"
BOCH-KC34C-CUS,"0.0000","0.0000","5","2.00","Yes"
BOCH-KC34C-SW,"0.9900","0.0000","999","0.05","Yes"
BOCH-KC35,"54.9900","0.0000","11","5.00","No"
BOCH-KC35-108,"64.9900","64.9900","2","6.00","No"
BOCH-KC35-120,"69.9900","69.9900","2","6.00","No"
BOCH-KC35-84,"54.9900","54.9900","1","5.00","No"
BOCH-KC35-96,"59.9900","59.9900","2","5.00","No"
BOCH-KC35-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-KC35-SW,"0.9900","0.0000","999","0.05","No"
BOCH-KC36,"54.9900","0.0000","2","5.00","No"
BOCH-KC36-108,"64.9900","64.9900","2","6.00","Yes"
BOCH-KC36-120,"69.9900","69.9900","2","6.00","Yes"
BOCH-KC36-84,"54.9900","54.9900","1","5.00","Yes"
BOCH-KC36-96,"59.9900","59.9900","2","5.00","Yes"
BOCH-KC36-CUS,"0.0000","0.0000","5","2.00","Yes"
BOCH-KC36-SW,"0.9900","0.0000","999","0.05","Yes"
BOCH-KC5,"49.9900","0.0000","20","5.00","No"
BOCH-KC5-108,"59.9900","59.9900","2","6.00","No"
BOCH-KC5-120,"64.9900","64.9900","2","6.00","No"
BOCH-KC5-84,"49.9900","49.9900","1","5.00","No"
BOCH-KC5-96,"54.9900","54.9900","2","5.00","No"
BOCH-KC5-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-KC5-SW,"0.9900","0.0000","999","0.05","No"
BOCH-KC6,"44.9900","0.0000","","15.00","No"
BOCH-KC6,"49.9900","0.0000","4","5.00","No"
BOCH-KC6-108,"54.9900","54.9900","3","6.00","No"
BOCH-KC6-108,"59.9900","59.9900","2","6.00","No"
BOCH-KC6-120,"44.9900","44.9900","4","6.00","No"
BOCH-KC6-120,"64.9900","64.9900","2","6.00","No"
BOCH-KC6-84,"44.9900","44.9900","1","5.00","No"
BOCH-KC6-84,"49.9900","49.9900","1","5.00","No"
BOCH-KC6-96,"49.9900","49.9900","2","5.00","No"
BOCH-KC6-96,"54.9900","54.9900","2","5.00","No"
BOCH-KC6-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-KC6-SW,"0.9900","0.0000","999","0.05","No"
BOCH-KC7-8433-83,"54.9900","0.0000","999","0.00","No"
BOCH-KC8,"49.9900","0.0000","3","5.00","No"
BOCH-KC8-108,"59.9900","59.9900","2","6.00","No"
BOCH-KC8-120,"64.9900","64.9900","2","6.00","No"
BOCH-KC8-84,"49.9900","49.9900","1","5.00","No"
BOCH-KC8-96,"54.9900","54.9900","2","5.00","No"
BOCH-KC8-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-KC8-SW,"0.9900","0.0000","999","0.05","No"
BOCH-KC91B,"49.9900","0.0000","16","5.00","No"
BOCH-KC91B-108,"59.9900","59.9900","2","6.00","No"
BOCH-KC91B-120,"64.9900","64.9900","2","6.00","No"
BOCH-KC91B-84,"49.9900","49.9900","1","5.00","No"
BOCH-KC91B-96,"54.9900","54.9900","2","5.00","No"
BOCH-KC91B-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-KC91B-SW,"0.9900","0.0000","999","0.05","No"
BOCH-PL1601,"59.0000","0.0000","2","5.00","No"
BOCH-PL1601-108,"69.0000","69.0000","2","6.00","No"
BOCH-PL1601-120,"74.0000","74.0000","2","6.00","No"
BOCH-PL1601-84,"59.0000","59.0000","1","5.00","No"
BOCH-PL1601-96,"64.0000","64.0000","2","5.00","No"
BOCH-PL1601-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-PL1601-SW,"0.9900","0.0000","999","0.05","No"
BOCH-PL1602,"59.0000","0.0000","5","5.00","No"
BOCH-PL1602-108,"69.0000","69.0000","2","6.00","No"
BOCH-PL1602-120,"74.0000","74.0000","2","6.00","No"
BOCH-PL1602-84,"59.0000","59.0000","1","5.00","No"
BOCH-PL1602-96,"64.0000","64.0000","2","5.00","No"
BOCH-PL1602-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-PL1602-SW,"0.9900","0.0000","999","0.05","No"
BOCH-PL1604,"59.0000","0.0000","0","5.00","No"
BOCH-PL1604-108,"69.0000","69.0000","3","6.00","No"
BOCH-PL1604-120,"74.0000","74.0000","4","6.00","No"
BOCH-PL1604-84,"59.0000","59.0000","1","5.00","No"
BOCH-PL1604-96,"64.0000","64.0000","2","5.00","No"
BOCH-PL1604-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-PL1604-SW,"0.9900","0.0000","999","0.05","No"
BOCH-PL1605,"59.0000","0.0000","6","5.00","No"
BOCH-PL1605-108,"69.0000","69.0000","2","6.00","No"
BOCH-PL1605-120,"74.0000","74.0000","2","6.00","No"
BOCH-PL1605-84,"59.0000","59.0000","1","5.00","No"
BOCH-PL1605-96,"64.0000","64.0000","2","5.00","No"
BOCH-PL1605-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-PL1605-SW,"0.9900","0.0000","999","0.05","No"
BOCH-PL1606,"59.0000","0.0000","9","5.00","No"
BOCH-PL1606-108,"69.0000","69.0000","2","6.00","No"
BOCH-PL1606-120,"74.0000","74.0000","2","6.00","No"
BOCH-PL1606-84,"59.0000","59.0000","1","5.00","No"
BOCH-PL1606-96,"64.0000","64.0000","2","5.00","No"
BOCH-PL1606-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-PL1606-SW,"0.9900","0.0000","999","0.05","No"
BOCH-PL1607,"59.0000","0.0000","8","5.00","No"
BOCH-PL1607-108,"69.0000","69.0000","2","6.00","No"
BOCH-PL1607-120,"74.0000","74.0000","2","6.00","No"
BOCH-PL1607-84,"59.0000","59.0000","1","5.00","No"
BOCH-PL1607-96,"64.0000","64.0000","2","5.00","No"
BOCH-PL1607-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-PL1607-SW,"0.9900","0.0000","999","0.05","No"
BOCH-PL1608,"59.0000","0.0000","3","5.00","No"
BOCH-PL1608-108,"69.0000","69.0000","2","6.00","No"
BOCH-PL1608-120,"74.0000","74.0000","2","6.00","No"
BOCH-PL1608-84,"59.0000","59.0000","1","5.00","No"
BOCH-PL1608-96,"64.0000","64.0000","2","5.00","No"
BOCH-PL1608-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-PL1608-SW,"0.9900","0.0000","999","0.05","No"
BOCH-PL1609,"59.0000","0.0000","1","5.00","No"
BOCH-PL1609-108,"69.0000","69.0000","2","6.00","No"
BOCH-PL1609-120,"74.0000","74.0000","2","6.00","No"
BOCH-PL1609-84,"59.0000","59.0000","1","5.00","No"
BOCH-PL1609-96,"64.0000","64.0000","2","5.00","No"
BOCH-PL1609-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-PL1609-SW,"0.9900","0.0000","999","0.05","No"
BOCH-PL1610,"59.0000","0.0000","7","5.00","No"
BOCH-PL1610-108,"69.0000","69.0000","2","6.00","No"
BOCH-PL1610-120,"74.0000","74.0000","2","6.00","No"
BOCH-PL1610-84,"59.0000","59.0000","1","5.00","No"
BOCH-PL1610-96,"64.0000","64.0000","2","5.00","No"
BOCH-PL1610-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-PL1610-SW,"0.9900","0.0000","999","0.05","No"
BOCH-PL4201,"59.0000","0.0000","4","5.00","No"
BOCH-PL4201-108,"69.0000","69.0000","2","6.00","No"
BOCH-PL4201-120,"74.0000","74.0000","2","6.00","No"
BOCH-PL4201-84,"59.0000","59.0000","1","5.00","No"
BOCH-PL4201-96,"64.0000","64.0000","2","5.00","No"
BOCH-PL4201-CUS,"0.0000","0.0000","5","2.00","No"
BOCH-PL4201-SW,"0.9900","0.0000","999","0.05","No"
CC-CD14-FB,"18.0000","18.0000","18","0.00","No"
CC-CD17,"89.0000","0.0000","5","6.00","No"
CC-CD17-108,"109.0000","109.0000","2","7.00","No"
CC-CD17-120,"119.0000","119.0000","2","8.00","No"
CC-CD17-84,"89.0000","89.0000","1","6.00","No"
CC-CD17-96,"99.0000","99.0000","2","7.00","No"
CC-CD17-CUS,"0.0000","0.0000","5","2.40","No"
CC-CD17-FB,"18.0000","18.0000","2","1.00","No"
CC-CD17-SW,"0.9900","0.0000","999","0.05","No"
CC-CD22,"89.0000","0.0000","3","6.00","No"
CC-CD22-108,"109.0000","109.0000","2","7.00","No"
CC-CD22-120,"119.0000","119.0000","2","8.00","No"
CC-CD22-84,"89.0000","89.0000","1","6.00","No"
CC-CD22-96,"99.0000","99.0000","2","7.00","No"
CC-CD22-CUS,"0.0000","0.0000","5","2.40","No"
CC-CD22-FB,"18.0000","18.0000","4","1.00","No"
CC-CD22-SW,"0.9900","0.0000","999","0.05","No"
CC-CD29,"89.0000","0.0000","4","6.00","No"
CC-CD29-108,"109.0000","109.0000","2","7.00","No"
CC-CD29-120,"119.0000","119.0000","2","8.00","No"
CC-CD29-84,"89.0000","89.0000","1","6.00","No"
CC-CD29-96,"99.0000","99.0000","2","7.00","No"
