SKU,SalePrice,BaseCustomPrice,DisplayOrder,Weight,Discontinue,UPC
DS-EMBS201324,"289.0000","0.0000","20","5.00","No",""
DS-EMBS201324-108,"319.0000","319.0000","3","6.00","No","799665822705"
DS-EMBS201324-96,"309.0000","309.0000","2","5.00","No","799665822682"
DS-EMBS201324-CUS,"0.0000","0.0000","4","2.40","No","799665822712"
DS-EMBS201324-SW,"1.9900","0.0000","0","0.05","No","799665822736"

