SKU,Price,BASE CUSTOM PRICE
"BOCH-KC22-96","59.9900","59.9900"
"BOCH-KC23-108","64.9900","64.9900"
"BOCH-KC23-120","69.9900","69.9900"
"BOCH-KC23-84","54.9900","54.9900"
"BOCH-KC23-96","59.9900","59.9900"
"BOCH-KC24-108","64.9900","64.9900"
"BOCH-KC24-120","69.9900","69.9900"
"BOCH-KC24-84","54.9900","54.9900"
"BOCH-KC24-96","59.9900","59.9900"
"BOCH-KC25-108","64.9900","64.9900"
"BOCH-KC25-120","69.9900","69.9900"
"BOCH-KC25-84","54.9900","54.9900"
"BOCH-KC25-96","59.9900","59.9900"
"BOCH-KC26-108","64.9900","64.9900"
"BOCH-KC26-120","69.9900","69.9900"
"BOCH-KC26-84","54.9900","54.9900"
"BOCH-KC26-96","59.9900","59.9900"
"BOCH-KC27-108","64.9900","64.9900"
"BOCH-KC27-120","69.9900","69.9900"
"BOCH-KC27-84","54.9900","54.9900"
"BOCH-KC27-96","59.9900","59.9900"
"BOCH-KC28-108","64.9900","64.9900"
"BOCH-KC28-120","69.9900","69.9900"
"BOCH-KC28-84","54.9900","54.9900"
"BOCH-KC28-96","59.9900","59.9900"
"BOCH-KC29-108","64.9900","64.9900"
"BOCH-KC29-120","69.9900","69.9900"
"BOCH-KC29-84","54.9900","54.9900"
"BOCH-KC29-96","59.9900","59.9900"
"BOCH-KC30-108","64.9900","64.9900"
"BOCH-KC30-120","69.9900","69.9900"
"BOCH-KC30-84","54.9900","54.9900"
"BOCH-KC30-96","59.9900","59.9900"
"BOCH-KC31-108","64.9900","64.9900"
"BOCH-KC31-120","69.9900","69.9900"
"BOCH-KC31-84","54.9900","54.9900"
"BOCH-KC31-96","59.9900","59.9900"
"BOCH-KC32-108","64.9900","64.9900"
"BOCH-KC32-120","69.9900","69.9900"
"BOCH-KC32-84","54.9900","54.9900"
"BOCH-KC32-96","59.9900","59.9900"
"BOCH-KC33-108","59.9900","59.9900"
"BOCH-KC33-120","64.9900","64.9900"
"BOCH-KC33-84","49.9900","49.9900"
"BOCH-KC33-96","54.9900","54.9900"
"BOCH-KC34C-108","59.9900","59.9900"
"BOCH-KC34C-120","64.9900","64.9900"
"BOCH-KC34C-84","49.9900","49.9900"
"BOCH-KC34C-96","54.9900","54.9900"
"BOCH-KC35-108","64.9900","64.9900"
"BOCH-KC35-120","69.9900","69.9900"
"BOCH-KC35-84","54.9900","54.9900"
"BOCH-KC35-96","59.9900","59.9900"
"BOCH-KC36-108","64.9900","64.9900"
"BOCH-KC36-120","69.9900","69.9900"
