FILE TYPE,VENDOR SKU,AVAILABLE,QTY,NEXT AVAILABLE QTY,NEXT AVAILABLE DATE,MANUFACTURER,MANUFACTURER SKU,DESCRIPTION,UNIT COST,UNIT COST 2,UNIT COST 3,UNIT COST 4,DISCONTINUED,MERCH. DEPT.,UNIT OF MEASURE,MERCHANT SKU,MERCHANT,GS1 ID
"IN","DS-TF926-SW","Yes","10","","","Half Price Drapes","DS-TF926-SW","Tulare Silk Taffeta Stripe Swatch","","","","","NO","","","DS-TF926-SW","KOHLS","799665816841"
"IN","SHFLNCH-M013","Yes","10","","","Half Price Drapes","SHFLNCH-M013","Tumbleweed Faux Linen Sheer Curtain","","","","","NO","","","SHFLNCH-M013","KOHLS","610395226451"
"IN","SHFLNCH-M013-SW","Yes","10","","","Half Price Drapes","SHFLNCH-M013-SW","Tumbleweed Faux Linen Sheer Swatch","","","","","NO","","","SHFLNCH-M013-SW","KOHLS","799418015781"
"IN","BOCH-PL1610","Yes","10","","","Half Price Drapes","BOCH-PL1610","Turkish Coffee Bellino Blackout Curtain","","","","","NO","","","BOCH-PL1610","KOHLS","799665829773"
"IN","BOCH-PL1610-SW","Yes","10","","","Half Price Drapes","BOCH-PL1610-SW","Turkish Coffee Bellino Blackout Swatch","","","","","NO","","","BOCH-PL1610-SW","KOHLS","799665829834"
"IN","CZCH-CTZ6","Yes","10","","","Half Price Drapes","CZCH-CTZ6","Turquoise Cotenza Curtain","","","","","NO","","","CZCH-CTZ6","KOHLS","610395221715"

