SKU,UPC,Inventory On Hand, Location,Hemming Allowed
DS-EFCH14-1,"13","-24","Livermore Warehouse","No"
 ,SKU,UPC,Inventory On Hand, Location,Safety Lock Qty,Avilable For Channel Sales/HPD Website
,"JQCH-HANB11-120","799418013350","43","Atlanta Warehouse","0","43"
JQCH-HANB9,"","217","Atlanta Warehouse","No"
,"JQCH-HANB9-84","799418013183","39","Atlanta Warehouse","0","39"
,"JQCH-HANB9-96","799418013190","79","Atlanta Warehouse","0","79"
,"JQCH-HANB9-108","799418013206","59","Atlanta Warehouse","0","59"
,"JQCH-HANB9-120","799418013213","40","Atlanta Warehouse","0","40"
EFSCH-20134D2,"","230","Atlanta Warehouse","No"
,"EFSCH-20134D2-84","799418014821","0","Atlanta Warehouse","0","0"
,"EFSCH-20134D2-96","799418014838","90","Atlanta Warehouse","0","90"
,"EFSCH-20134D2-108","799418014845","94","Atlanta Warehouse","0","94"
,"EFSCH-20134D2-120","799418014852","46","Atlanta Warehouse","0","46"
EFSCH-20134D1,"","336","Atlanta Warehouse","No"
,"EFSCH-20134D1-84","799418014753","0","Atlanta Warehouse","0","0"
,"EFSCH-20134D1-96","799418014760","126","Atlanta Warehouse","0","126"
,"EFSCH-20134D1-108","799418014777","128","Atlanta Warehouse","0","128"
,"EFSCH-20134D1-120","799418014784","82","Atlanta Warehouse","0","82"
EFSCH-20134C,"","274","Atlanta Warehouse","Yes"
,"EFSCH-20134C-84","799418015033","0","Atlanta Warehouse","15","209"
,"EFSCH-20134C-96","799418015040","115","Atlanta Warehouse","15","224"
,"EFSCH-20134C-108","799418015057","98","Atlanta Warehouse","15","124"
,"EFSCH-20134C-120","799418015064","61","Atlanta Warehouse","20","41"
EFSCH-20134B,"","329","Atlanta Warehouse","No"
,"EFSCH-20134B-84","799418015170","0","Atlanta Warehouse","0","0"
,"EFSCH-20134B-96","799418015187","119","Atlanta Warehouse","0","119"
,"EFSCH-20134B-108","799418015194","140","Atlanta Warehouse","0","140"
,"EFSCH-20134B-120","799418015200","70","Atlanta Warehouse","0","70"
JQCH-HANB2,"","221","Atlanta Warehouse","No"
,"JQCH-HANB2-84","799418012483","36","Atlanta Warehouse","0","36"
,"JQCH-HANB2-96","799418012490","55","Atlanta Warehouse","0","55"
,"JQCH-HANB2-108","799418012506","66","Atlanta Warehouse","0","66"
,"JQCH-HANB2-120","799418012513","64","Atlanta Warehouse","0","64"
EFSCH-20134E2,"","322","Atlanta Warehouse","No"
,"EFSCH-20134E2-84","799418014968","0","Atlanta Warehouse","0","0"
,"EFSCH-20134E2-96","799418014975","108","Atlanta Warehouse","0","108"
,"EFSCH-20134E2-96","799418014975","108","Livermore Warehouse","0","108"
,"EFSCH-20134E2-108","799418014982","136","Atlanta Warehouse","0","136"
,"EFSCH-20134E2-120","799418014999","78","Atlanta Warehouse","0","78"
JQCH-HANB13C,"","88","Atlanta Warehouse","No"
,"JQCH-HANB13C-84","799418013671","23","Atlanta Warehouse","0","23"
,"JQCH-HANB13C-96","799418013688","22","Atlanta Warehouse","0","22"
,"JQCH-HANB13C-108","799418013695","43","Atlanta Warehouse","0","43"
,"JQCH-HANB13C-120","799418013701","0","Atlanta Warehouse","0","0"
JQCH-HANB13B,"","22","Atlanta Warehouse","No"
,"JQCH-HANB13B-84","799418013602","0","Atlanta Warehouse","0","0"
,"JQCH-HANB13B-96","799418013619","0","Atlanta Warehouse","0","0"
,"JQCH-HANB13B-108","799418013626","22","Atlanta Warehouse","0","22"
,"JQCH-HANB13B-108","799418013626","22","Livermore Warehouse","0","22"
,"JQCH-HANB13B-120","799418013633","0","Atlanta Warehouse","0","0"
JQCH-HANB13A,"","182","Atlanta Warehouse","No"
,"JQCH-HANB13A-84","799418013534","39","Atlanta Warehouse","0","39"
,"JQCH-HANB13A-96","799418013541","37","Atlanta Warehouse","0","37"
,"JQCH-HANB13A-108","799418013558","68","Atlanta Warehouse","0","68"
,"JQCH-HANB13A-120","799418013565","38","Atlanta Warehouse","0","38"
EFSCH-PLK850C2,"","287","Livermore Warehouse","No"
,"EFSCH-PLK850C2-84","799418014128","0","Atlanta Warehouse","0","0"
,"EFSCH-PLK850C2-96","799418014135","121","Atlanta Warehouse","0","121"
,"EFSCH-PLK850C2-108","799418014142","104","Livermore Warehouse","5","99"
,"EFSCH-PLK850C2-120","799418014159","62","Atlanta Warehouse","0","62"
EFSCH-PLK850C4,"","262","Atlanta Warehouse","No"
,"EFSCH-PLK850C4-84","799418014265","0","Atlanta Warehouse","0","0"
,"EFSCH-PLK850C4-96","799418014272","82","Atlanta Warehouse","0","82"
,"EFSCH-PLK850C4-108","799418014289","121","Atlanta Warehouse","0","121"
,"EFSCH-PLK850C4-108","799418014289","121","Livermore Warehouse","0","121"
,"EFSCH-PLK850C4-120","799418014296","59","Atlanta Warehouse","0","59"
EFSCH-PLK850C5,"","169","Atlanta Warehouse","No"
,"EFSCH-PLK850C5-84","799418014333","0","Atlanta Warehouse","0","0"
,"EFSCH-PLK850C5-96","799418014340","106","Atlanta Warehouse","0","106"
,"EFSCH-PLK850C5-108","799418014357","0","Livermore Warehouse","0","0"
,"EFSCH-PLK850C5-120","799418014364","63","Atlanta Warehouse","0","63"
JQCH-HANB7,"","22","Atlanta Warehouse","No"
,"JQCH-HANB7-84","799418013046","0","Atlanta Warehouse","0","0"
,"JQCH-HANB7-96","799418013053","0","Atlanta Warehouse","0","0"
,"JQCH-HANB7-108","799418013060","0","Atlanta Warehouse","0","0"
,"JQCH-HANB7-120","799418013077","22","Atlanta Warehouse","0","22"
DS-CHX14,"","-14","Livermore Warehouse","No"
,"DS-CHX14-84","799418019079","0","Livermore Warehouse","5","0"
,"DS-CHX14-96","799418019086","0","Livermore Warehouse","5","0"
,"DS-CHX14-108","799418019093","0","Livermore Warehouse","5","0"
,"DS-CHX14-120","799418019109","0","Livermore Warehouse","5","0"
,"DS-CHX14-CUS","799418019123","0","Livermore Warehouse","0",""
DS-EFCH10A,"","0","Livermore Warehouse","No"
,"DS-EFCH10A-84","799665818876","0","Livermore Warehouse","5","0"
,"DS-EFCH10A-96","799665818883","0","Livermore Warehouse","5","0"
,"DS-EFCH10A-108","799665818906","0","Livermore Warehouse","5","0"
,"DS-EFCH10A-120","799665818890","0","Livermore Warehouse","5","0"
,"DS-EFCH10A-CUS","799665818913","0","Livermore Warehouse","0",""
DS-PS001,"","0","Livermore Warehouse","No"
,"DS-PS001-84","799418019284","0","Livermore Warehouse","5","0"
,"DS-PS001-96","799418019291","0","Livermore Warehouse","5","0"
,"DS-PS001-108","799418019307","0","Livermore Warehouse","5","0"
,"DS-PS001-CUS","799418019338","0","Livermore Warehouse","0",""
DS-PS002,"","0","Livermore Warehouse","No"
,"DS-PS002-84","799418019352","0","Livermore Warehouse","5","0"
,"DS-PS002-96","799418019369","0","Livermore Warehouse","5","0"
,"DS-PS002-108","799418019376","0","Livermore Warehouse","5","0"
,"DS-PS002-120","799418019383","0","Livermore Warehouse","5","0"
,"DS-PS002-CUS","799418019406","0","Livermore Warehouse","0",""
DS-PS003,"","0","Livermore Warehouse","No"
,"DS-PS003-84","799418019420","0","Livermore Warehouse","0","0"
,"DS-PS003-96","799418019437","0","Livermore Warehouse","0","0"
,"DS-PS003-108","799418019444","0","Livermore Warehouse","0","0"
,"DS-PS003-120","799418019451","0","Livermore Warehouse","0","0"
,"DS-PS003-CUS","799418019475","0","Livermore Warehouse","0",""
DS-SLK02,"","0","Livermore Warehouse","No"
,"DS-SLK02-84","799418019499","0","Livermore Warehouse","0","0"
,"DS-SLK02-96","799418019505","0","Livermore Warehouse","0","0"
,"DS-SLK02-108","799418019512","0","Livermore Warehouse","0","0"
,"DS-SLK02-120","799418019529","0","Livermore Warehouse","0","0"
,"DS-SLK02-CUS","799418019543","0","Livermore Warehouse","0",""
DS-SLK196,"","0","Livermore Warehouse","No"
,"DS-SLK196-84","799418019703","0","Livermore Warehouse","0","0"
,"DS-SLK196-96","799418019710","0","Livermore Warehouse","0","0"
,"DS-SLK196-108","799418019727","0","Livermore Warehouse","0","0"
,"DS-SLK196-120","799418019734","0","Livermore Warehouse","0","0"
,"DS-SLK196-CUS","799418019758","0","Livermore Warehouse","0",""
DS-SLK33,"","0","Livermore Warehouse","No"
,"DS-SLK33-84","799418019000","0","Livermore Warehouse","0","0"
,"DS-SLK33-96","799418019017","0","Livermore Warehouse","0","0"
,"DS-SLK33-108","799418019024","0","Livermore Warehouse","0","0"
,"DS-SLK33-120","799418019031","0","Livermore Warehouse","0","0"
,"DS-SLK33-CUS","799418019055","0","Livermore Warehouse","0",""
DS-SLK83,"","0","Livermore Warehouse","No"
