SKU,SalePrice,BaseCustomPrice,DisplayOrder,Weight,Discontinue,UPC
BN-SCY22VET1206,"169.0000","0.0000","0","6.00","No","799665820718"
BN-SCY22VET1206-108,"199.0000","199.0000","3","7.00","No","799665820718"
BN-SCY22VET1206-120,"209.0000","209.0000","4","8.00","No","799665820701"
BN-SCY22VET1206-84,"169.0000","169.0000","1","6.00","Yes","799665820688"
BN-SCY22VET1206-96,"189.0000","189.0000","2","7.00","Yes","799665820695"
BN-SCY22VET1206-CUS,"0.0000","0.0000","5","2.40","Yes","799665811600"
BN-SCY22VET1206-SW,"1.9900","0.0000","999","0.05","Yes","799665811617"

