SKU,SalePrice,BaseCustomPrice,DisplayOrder,Weight,Discontinue
BN-SCY22VET1206,169,0,0,6,Yes
BN-SCY22VET1206-108,199,199,3,7,Yes
BN-SCY22VET1206-120,209,209,4,8,Yes
BN-SCY22VET1206-84,169,169,1,6,Yes
BN-SCY22VET1206-96,189,189,2,7,Yes
BN-SCY22VET1206-CUS,0,0,5,2.4,Yes
BN-SCY22VET1206-SW,1.99,0,999,0.05,Yes
