z2t_ID,ZipCode,SalesTaxRate,RateState,ReportingCodeState,RateCounty,ReportingCodeCounty,RateCity,ReportingCodeCity,RateSpecialDistrict,ReportingCodeSpecialDistrict,City,PostOffice,State,County,ShippingTaxable,PrimaryRecord
74310,92260,8,7.5,0,0.5,26,0,,0,,Palm Desert,Palm Desert,CA,Riverside,0,1
74311,92261,8,7.5,0,0.5,26,0,,0,,Palm Desert,Palm Desert,CA,Riverside,0,1
74312,92262,8,7.5,0,0.5,26,0,,0,,Barona Rancheria,Palm Springs,CA,Riverside,0,0
74314,92262,9,7.5,0,0.5,26,1,275PSGT,0,,Palm Springs Municipal Airpo,Palm Springs,CA,Riverside,0,0
74315,92262,8,7.5,0,0.5,26,0,,0,,Smoke Tree,Palm Springs,CA,Riverside,0,0
74313,92262,9,7.5,0,0.5,26,1,275PSGT,0,,Palm Springs,Palm Springs,CA,Riverside,0,1
74316,92263,9,7.5,0,0.5,26,1,275PSGT,0,,Palm Springs,Palm Springs,CA,Riverside,0,1
74317,92264,9,7.5,0,0.5,26,1,275PSGT,0,,Palm Springs,Palm Springs,CA,Riverside,0,1
74318,92266,8,7.5,0,0.5,29,0,,0,,Palo Verde,Palo Verde,CA,Imperial,0,1
74321,92267,8,7.5,0,0.5,31,0,,0,,Parker Dam,Parker Dam,CA,San Bernardino,0,1
74320,92267,8,7.5,0,0.5,31,0,,0,,Black Meadow Landing,Parker Dam,CA,San Bernardino,0,0
74322,92268,8,7.5,0,0.5,31,0,,0,,Pioneertown,Pioneertown,CA,San Bernardino,0,1
74323,92268,8,7.5,0,0.5,31,0,,0,,Rimrock,Pioneertown,CA,San Bernardino,0,0
74324,92270,8,7.5,0,0.5,26,0,,0,,Rancho Mirage,Rancho Mirage,CA,Riverside,0,1
74325,92273,8,7.5,0,0.5,29,0,,0,,Seeley,Seeley,CA,Imperial,0,1
74332,92274,8,7.5,0,0.5,26,0,,0,,100 Palms,Thermal,CA,Riverside,0,0
74326,92274,8,7.5,0,0.5,26,0,,0,,Desert Shores,Thermal,CA,Riverside,0,0
74327,92274,8,7.5,0,0.5,26,0,,0,,One Hundred Palms,Thermal,CA,Riverside,0,0
74328,92274,8,7.5,0,0.5,26,0,,0,,Sandy Korner,Thermal,CA,Riverside,0,0
74330,92274,8,7.5,0,0.5,26,0,,0,,Torres Martinez Indian Reser,Thermal,CA,Riverside,0,0
74331,92274,8,7.5,0,0.5,26,0,,0,,Valerie,Thermal,CA,Riverside,0,0
74336,92274,8,7.5,0,0.5,26,0,,0,,Vista Santa Rosa,Thermal,CA,Riverside,0,0
74329,92274,8,7.5,0,0.5,26,0,,0,,Thermal,Thermal,CA,Riverside,0,1
74337,92275,8,7.5,0,0.5,29,0,,0,,Salton City,Salton City,CA,Imperial,0,1
74338,92275,8,7.5,0,0.5,29,0,,0,,Thermal,Salton City,CA,Imperial,0,0
74339,92276,8,7.5,0,0.5,26,0,,0,,Thousand Palms,Thousand Palms,CA,Riverside,0,1
74342,92277,8,7.5,0,0.5,31,0,,0,,Twentynine Palms,Twentynine Palms,CA,San Bernardino,0,1
74345,92278,8,7.5,0,0.5,31,0,,0,,Twentynine Palms,Twentynine Palms,CA,San Bernardino,0,1
74353,92280,8,7.5,0,0.5,31,0,,0,,Vidal,Vidal,CA,San Bernardino,0,1
74354,92280,8,7.5,0,0.5,31,0,,0,,Vidal Junction,Vidal,CA,San Bernardino,0,0
74352,92280,8,7.5,0,0.5,31,0,,0,,Blythe,Vidal,CA,San Bernardino,0,0
74355,92281,8,7.5,0,0.5,29,0,,0,,Westmorland,Westmorland,CA,Imperial,0,1
83646,92282,8,7.5,0,0.5,26,0,,0,,Whitewater,Whitewater,CA,Riverside,0,1
74356,92282,8,7.5,0,0.5,26,0,,0,,Cabazon,White Water,CA,Riverside,0,0
74359,92283,8,7.5,0,0.5,29,0,,0,,Felicity,Winterhaven,CA,Imperial,0,0
74358,92283,8,7.5,0,0.5,29,0,,0,,Winterhaven,Winterhaven,CA,Imperial,0,1
74360,92284,8,7.5,0,0.5,31,0,,0,,Yucca Valley,Yucca Valley,CA,San Bernardino,0,1
74361,92285,8,7.5,0,0.5,31,0,,0,,Landers,Landers,CA,San Bernardino,0,1
74362,92285,8,7.5,0,0.5,31,0,,0,,Yucca Valley,Landers,CA,San Bernardino,0,0
74363,92285,8,7.5,0,0.5,31,0,,0,,Johnson Valley,Landers,CA,San Bernardino,0,0
74365,92286,8,7.5,0,0.5,31,0,,0,,Yucca Valley,Yucca Valley,CA,San Bernardino,0,1
74372,92301,8,7.5,0,0.5,31,0,,0,,El Mirage,Adelanto,CA,San Bernardino,0,0
74371,92301,8,7.5,0,0.5,31,0,,0,,Adelanto,Adelanto,CA,San Bernardino,0,1
74373,92304,8,7.5,0,0.5,31,0,,0,,Amboy,Amboy,CA,San Bernardino,0,1
74374,92304,8,7.5,0,0.5,31,0,,0,,Cadiz,Amboy,CA,San Bernardino,0,0
74376,92305,8,7.5,0,0.5,31,0,,0,,Seven Oaks,Angelus Oaks,CA,San Bernardino,0,0
74375,92305,8,7.5,0,0.5,31,0,,0,,Angelus Oaks,Angelus Oaks,CA,San Bernardino,0,1
74377,92307,8,7.5,0,0.5,31,0,,0,,Apple Valley,Apple Valley,CA,San Bernardino,0,1
83647,92308,8,7.5,0,0.5,31,0,,0,,Jess Ranch,Apple Valley,CA,San Bernardino,0,0
74378,92308,8,7.5,0,0.5,31,0,,0,,Apple Valley,Apple Valley,CA,San Bernardino,0,1
74380,92309,8,7.5,0,0.5,31,0,,0,,Kelso,Baker,CA,San Bernardino,0,0
74379,92309,8,7.5,0,0.5,31,0,,0,,Baker,Baker,CA,San Bernardino,0,1
74382,92310,8,7.5,0,0.5,31,0,,0,,Fort Irwin,Fort Irwin,CA,San Bernardino,0,1
74381,92310,8,7.5,0,0.5,31,0,,0,,Barstow,Fort Irwin,CA,San Bernardino,0,0
74387,92311,8,7.5,0,0.5,31,0,,0,,Hodge,Barstow,CA,San Bernardino,0,0
74386,92311,8,7.5,0,0.5,31,0,,0,,Barstow,Barstow,CA,San Bernardino,0,1
74388,92312,8,7.5,0,0.5,31,0,,0,,Barstow,Barstow,CA,San Bernardino,0,1
74390,92313,8,7.5,0,0.5,31,0,,0,,Grand Terrace,Grand Terrace,CA,San Bernardino,0,1
74391,92314,8,7.5,0,0.5,31,0,,0,,Big Bear City,Big Bear City,CA,San Bernardino,0,1
74392,92315,8,7.5,0,0.5,31,0,,0,,Big Bear,Big Bear Lake,CA,San Bernardino,0,0
74393,92315,8,7.5,0,0.5,31,0,,0,,Big Bear Lake,Big Bear Lake,CA,San Bernardino,0,1
74395,92316,8,7.5,0,0.5,31,0,,0,,Crestmore,Bloomington,CA,San Bernardino,0,0
74394,92316,8,7.5,0,0.5,31,0,,0,,Bloomington,Bloomington,CA,San Bernardino,0,1
74396,92317,8,7.5,0,0.5,31,0,,0,,Blue Jay,Blue Jay,CA,San Bernardino,0,1
74397,92318,8,7.5,0,0.5,31,0,,0,,Bryn Mawr,Bryn Mawr,CA,San Bernardino,0,1
74398,92320,8,7.5,0,0.5,26,0,,0,,Calimesa,Calimesa,CA,Riverside,0,1
74402,92321,8,7.5,0,0.5,31,0,,0,,Cedar Glen,Cedar Glen,CA,San Bernardino,0,1
74404,92322,8,7.5,0,0.5,31,0,,0,,Cedarpines Park,Cedarpines Park,CA,San Bernardino,0,1
74406,92323,8,7.5,0,0.5,31,0,,0,,Cima,Cima,CA,San Bernardino,0,1
74408,92324,8,7.5,0,0.5,31,0,,0,,Grand Terrace,Colton,CA,San Bernardino,0,0
74407,92324,8,7.5,0,0.5,31,0,,0,,Colton,Colton,CA,San Bernardino,0,1
74409,92325,8,7.5,0,0.5,31,0,,0,,Crestline,Crestline,CA,San Bernardino,0,1
74411,92325,8,7.5,0,0.5,31,0,,0,,Valley Of Enchantment,Crestline,CA,San Bernardino,0,0
74410,92325,8,7.5,0,0.5,31,0,,0,,Lake Gregory,Crestline,CA,San Bernardino,0,0
74413,92327,8,7.5,0,0.5,31,0,,0,,Daggett,Daggett,CA,San Bernardino,0,1
74416,92328,8,7.5,0,0.5,14,0,,0,,Death Valley Junction,Death Valley,CA,Inyo,0,0
