SKU,SalePrice,BaseCustomPrice,DisplayOrder,Weight
BOCH-201303-84-GR,29,29,1,5
BOCH-201303-96,34,34,2,5
BOCH-201303-96-GR,34,34,2,5
BOCH-201303-CUS,0,0,5,2
BOCH-201303-GR,29,0,22,5
BOCH-201303-SW,0.99,0,999,0.05
BOCH-201304,29,0,3,5
BOCH-201304-108,39,39,2,6
BOCH-201304-108-GR,39,39,3,0
BOCH-201304-120,44,44,2,6
BOCH-201304-120-GR,44,44,4,0
BOCH-201304-63,29,29,1,5
BOCH-201304-84-GR,29,29,1,0
BOCH-201304-96,34,34,2,5
BOCH-201304-96-GR,34,34,2,0
BOCH-201304-CUS,0,0,5,2
BOCH-201304-GR,29,0,2,5
BOCH-201304-SW,0.99,0,999,0.05
BOCH-201305,29,0,16,5
BOCH-201305-108,39,39,2,6
BOCH-201305-108-GR,39,39,3,0
BOCH-201305-120,44,44,2,6
BOCH-201305-120-GR,44,44,4,0
BOCH-201305-84,29,29,1,5
BOCH-201305-84-GR,29,29,1,0
BOCH-201305-96,34,34,2,5
BOCH-201305-96-GR,34,34,2,0
BOCH-201305-CUS,0,0,5,2
BOCH-201305-GR,29,0,15,5
BOCH-201305-SW,0.99,0,999,0.05
BOCH-KC1,49.99,0,5,5
BOCH-KC1-108,59.99,59.99,2,6
BOCH-KC1-120,64.99,64.99,2,6
BOCH-KC1-84,49.99,49.99,1,5
BOCH-KC1-96,54.99,54.99,2,5
BOCH-KC1-CUS,0,0,5,2
BOCH-KC1-SW,0.99,0,999,0.05
BOCH-KC20,54.99,0,14,5
BOCH-KC20-108,64.99,64.99,2,6
BOCH-KC20-120,69.99,69.99,2,6
BOCH-KC20-84,54.99,54.99,1,5
BOCH-KC20-96,59.99,59.99,2,5
BOCH-KC20-CUS,0,0,5,2
BOCH-KC20-SW,0.99,0,999,0.05
BOCH-KC21,54.99,0,0,5
BOCH-KC21-108,64.99,64.99,2,6
BOCH-KC21-120,69.99,69.99,2,6
BOCH-KC21-84,54.99,54.99,1,5
BOCH-KC21-96,59.99,59.99,2,5
BOCH-KC21-CUS,0,0,5,2
BOCH-KC21-SW,0.99,0,999,0.05
BOCH-KC22,54.99,0,17,5
BOCH-KC22-108,64.99,64.99,2,6
BOCH-KC22-120,69.99,69.99,2,6
BOCH-KC22-84,54.99,54.99,1,5
BOCH-KC22-96,59.99,59.99,2,5
BOCH-KC22-CUS,0,0,5,2
BOCH-KC22-SW,0.99,0,999,0.05
BOCH-KC23,54.99,0,13,5
BOCH-KC23-108,64.99,64.99,2,6
BOCH-KC23-120,69.99,69.99,2,6
BOCH-KC23-84,54.99,54.99,1,5
BOCH-KC23-96,59.99,59.99,2,5
BOCH-KC23-CUS,0,0,5,2
BOCH-KC23-SW,0.99,0,999,0.05
BOCH-KC24,54.99,0,1,5
BOCH-KC24-108,64.99,64.99,2,6
BOCH-KC24-120,69.99,69.99,2,6
BOCH-KC24-84,54.99,54.99,1,5
BOCH-KC24-96,59.99,59.99,2,5
BOCH-KC24-CUS,0,0,5,2
BOCH-KC24-SW,0.99,0,999,0.05
BOCH-KC25,54.99,0,10,5
BOCH-KC25-108,64.99,64.99,2,6
BOCH-KC25-120,69.99,69.99,2,6
BOCH-KC25-84,54.99,54.99,1,5
BOCH-KC25-96,59.99,59.99,2,5
BOCH-KC25-CUS,0,0,5,2
BOCH-KC25-SW,0.99,0,999,0.05
BOCH-KC26,54.99,0,9,5
BOCH-KC26-108,64.99,64.99,2,6
BOCH-KC26-120,69.99,69.99,2,6
BOCH-KC26-84,54.99,54.99,1,5
BOCH-KC26-96,59.99,59.99,2,5
BOCH-KC26-CUS,0,0,5,2
BOCH-KC26-SW,0.99,0,999,0.05
BOCH-KC27,54.99,0,12,5
BOCH-KC27-108,64.99,64.99,2,6
BOCH-KC27-120,69.99,69.99,2,6
BOCH-KC27-84,54.99,54.99,1,5
BOCH-KC27-96,59.99,59.99,2,5
BOCH-KC27-CUS,0,0,5,2
BOCH-KC27-SW,0.99,0,999,0.05
BOCH-KC28,54.99,0,19,5
BOCH-KC28-108,64.99,64.99,2,6
BOCH-KC28-120,69.99,69.99,2,6
BOCH-KC28-84,54.99,54.99,1,5
BOCH-KC28-96,59.99,59.99,2,5
BOCH-KC28-CUS,0,0,5,2
BOCH-KC28-SW,0.99,0,999,0.05
BOCH-KC29,54.99,0,18,5
BOCH-KC29-108,64.99,64.99,2,6
BOCH-KC29-120,69.99,69.99,2,6
BOCH-KC29-84,54.99,54.99,1,5
BOCH-KC29-96,59.99,59.99,2,5
BOCH-KC29-CUS,0,0,5,2
BOCH-KC29-SW,0.99,0,999,0.05
BOCH-KC30,54.99,0,8,5
BOCH-KC30-108,64.99,64.99,2,6
BOCH-KC30-120,69.99,69.99,2,6
BOCH-KC30-84,54.99,54.99,1,5
BOCH-KC30-96,59.99,59.99,2,5
BOCH-KC30-CUS,0,0,5,2
BOCH-KC30-SW,0.99,0,999,0.05
BOCH-KC31,54.99,0,7,5
BOCH-KC31-108,64.99,64.99,2,6
BOCH-KC31-120,69.99,69.99,2,6
BOCH-KC31-84,54.99,54.99,1,5
BOCH-KC31-96,59.99,59.99,2,5
BOCH-KC31-CUS,0,0,5,2
BOCH-KC31-SW,0.99,0,999,0.05
BOCH-KC32,54.99,0,15,5
BOCH-KC32-108,64.99,64.99,2,6
BOCH-KC32-120,69.99,69.99,2,6
BOCH-KC32-84,54.99,54.99,1,5
BOCH-KC32-96,59.99,59.99,2,5
BOCH-KC32-CUS,0,0,5,2
BOCH-KC32-SW,0.99,0,999,0.05
BOCH-KC33,49.99,0,6,5
BOCH-KC33-108,59.99,59.99,2,6
BOCH-KC33-120,64.99,64.99,2,6
BOCH-KC33-84,49.99,49.99,1,5
BOCH-KC33-96,54.99,54.99,2,5
BOCH-KC33-CUS,0,0,5,2
BOCH-KC33-SW,0.99,0,999,0.05
BOCH-KC34C,49.99,0,0,5
BOCH-KC34C-108,59.99,59.99,3,6
BOCH-KC34C-120,64.99,64.99,4,6
BOCH-KC34C-84,49.99,49.99,1,5
BOCH-KC34C-96,54.99,54.99,2,5
BOCH-KC34C-CUS,0,0,5,2
BOCH-KC34C-SW,0.99,0,999,0.05
BOCH-KC35,54.99,0,11,5
BOCH-KC35-108,64.99,64.99,2,6
BOCH-KC35-120,69.99,69.99,2,6
BOCH-KC35-84,54.99,54.99,1,5
BOCH-KC35-96,59.99,59.99,2,5
BOCH-KC35-CUS,0,0,5,2
BOCH-KC35-SW,0.99,0,999,0.05
BOCH-KC36,54.99,0,2,5
BOCH-KC36-108,64.99,64.99,2,6
BOCH-KC36-120,69.99,69.99,2,6
BOCH-KC36-84,54.99,54.99,1,5
BOCH-KC36-96,59.99,59.99,2,5
BOCH-KC36-CUS,0,0,5,2
BOCH-KC36-SW,0.99,0,999,0.05
BOCH-KC5,49.99,0,20,5
BOCH-KC5-108,59.99,59.99,2,6
BOCH-KC5-120,64.99,64.99,2,6
BOCH-KC5-84,49.99,49.99,1,5
BOCH-KC5-96,54.99,54.99,2,5
BOCH-KC5-CUS,0,0,5,2
BOCH-KC5-SW,0.99,0,999,0.05
BOCH-KC6,44.99,0,,15
BOCH-KC6,49.99,0,4,5
BOCH-KC6-108,54.99,54.99,3,6
BOCH-KC6-108,59.99,59.99,2,6
BOCH-KC6-120,44.99,44.99,4,6
BOCH-KC6-120,64.99,64.99,2,6
BOCH-KC6-84,44.99,44.99,1,5
BOCH-KC6-84,49.99,49.99,1,5
BOCH-KC6-96,49.99,49.99,2,5
BOCH-KC6-96,54.99,54.99,2,5
BOCH-KC6-CUS,0,0,5,2
BOCH-KC6-SW,0.99,0,999,0.05
BOCH-KC7-8433-83,54.99,0,999,0
BOCH-KC8,49.99,0,3,5
BOCH-KC8-108,59.99,59.99,2,6
BOCH-KC8-120,64.99,64.99,2,6
BOCH-KC8-84,49.99,49.99,1,5
BOCH-KC8-96,54.99,54.99,2,5
BOCH-KC8-CUS,0,0,5,2
BOCH-KC8-SW,0.99,0,999,0.05
BOCH-KC91B,49.99,0,16,5
BOCH-KC91B-108,59.99,59.99,2,6
BOCH-KC91B-120,64.99,64.99,2,6
BOCH-KC91B-84,49.99,49.99,1,5
BOCH-KC91B-96,54.99,54.99,2,5
BOCH-KC91B-CUS,0,0,5,2
BOCH-KC91B-SW,0.99,0,999,0.05
BOCH-PL1601,59,0,2,5
BOCH-PL1601-108,69,69,2,6
BOCH-PL1601-120,74,74,2,6
BOCH-PL1601-84,59,59,1,5
BOCH-PL1601-96,64,64,2,5
BOCH-PL1601-CUS,0,0,5,2
BOCH-PL1601-SW,0.99,0,999,0.05
BOCH-PL1602,59,0,5,5
BOCH-PL1602-108,69,69,2,6
BOCH-PL1602-120,74,74,2,6
BOCH-PL1602-84,59,59,1,5
BOCH-PL1602-96,64,64,2,5
BOCH-PL1602-CUS,0,0,5,2
BOCH-PL1602-SW,0.99,0,999,0.05
BOCH-PL1604,59,0,0,5
BOCH-PL1604-108,69,69,3,6
BOCH-PL1604-120,74,74,4,6
BOCH-PL1604-84,59,59,1,5
BOCH-PL1604-96,64,64,2,5
BOCH-PL1604-CUS,0,0,5,2
BOCH-PL1604-SW,0.99,0,999,0.05
BOCH-PL1605,59,0,6,5
BOCH-PL1605-108,69,69,2,6
BOCH-PL1605-120,74,74,2,6
BOCH-PL1605-84,59,59,1,5
BOCH-PL1605-96,64,64,2,5
BOCH-PL1605-CUS,0,0,5,2
BOCH-PL1605-SW,0.99,0,999,0.05
BOCH-PL1606,59,0,9,5
BOCH-PL1606-108,69,69,2,6
BOCH-PL1606-120,74,74,2,6
BOCH-PL1606-84,59,59,1,5
BOCH-PL1606-96,64,64,2,5
BOCH-PL1606-CUS,0,0,5,2
BOCH-PL1606-SW,0.99,0,999,0.05
BOCH-PL1607,59,0,8,5
BOCH-PL1607-108,69,69,2,6
BOCH-PL1607-120,74,74,2,6
BOCH-PL1607-84,59,59,1,5
BOCH-PL1607-96,64,64,2,5
BOCH-PL1607-CUS,0,0,5,2
BOCH-PL1607-SW,0.99,0,999,0.05
BOCH-PL1608,59,0,3,5
BOCH-PL1608-108,69,69,2,6
BOCH-PL1608-120,74,74,2,6
BOCH-PL1608-84,59,59,1,5
BOCH-PL1608-96,64,64,2,5
BOCH-PL1608-CUS,0,0,5,2
BOCH-PL1608-SW,0.99,0,999,0.05
BOCH-PL1609,59,0,1,5
BOCH-PL1609-108,69,69,2,6
BOCH-PL1609-120,74,74,2,6
BOCH-PL1609-84,59,59,1,5
BOCH-PL1609-96,64,64,2,5
BOCH-PL1609-CUS,0,0,5,2
BOCH-PL1609-SW,0.99,0,999,0.05
BOCH-PL1610,59,0,7,5
BOCH-PL1610-108,69,69,2,6
BOCH-PL1610-120,74,74,2,6
BOCH-PL1610-84,59,59,1,5
BOCH-PL1610-96,64,64,2,5
BOCH-PL1610-CUS,0,0,5,2
BOCH-PL1610-SW,0.99,0,999,0.05
BOCH-PL4201,59,0,4,5
BOCH-PL4201-108,69,69,2,6
BOCH-PL4201-120,74,74,2,6
BOCH-PL4201-84,59,59,1,5
BOCH-PL4201-96,64,64,2,5
BOCH-PL4201-CUS,0,0,5,2
BOCH-PL4201-SW,0.99,0,999,0.05
CC-CD14-FB,18,18,18,0
CC-CD17,89,0,5,6
CC-CD17-108,109,109,2,7
CC-CD17-120,119,119,2,8
CC-CD17-84,89,89,1,6
CC-CD17-96,99,99,2,7
CC-CD17-CUS,0,0,5,2.4
CC-CD17-FB,18,18,2,1
CC-CD17-SW,0.99,0,999,0.05
CC-CD22,89,0,3,6
CC-CD22-108,109,109,2,7
CC-CD22-120,119,119,2,8
CC-CD22-84,89,89,1,6
CC-CD22-96,99,99,2,7
CC-CD22-CUS,0,0,5,2.4
CC-CD22-FB,18,18,4,1
CC-CD22-SW,0.99,0,999,0.05
CC-CD29,89,0,4,6
CC-CD29-108,109,109,2,7
CC-CD29-120,119,119,2,8
CC-CD29-84,89,89,1,6
CC-CD29-96,99,99,2,7
CC-CD29-CUS,0,0,5,2.4
CC-CD29-FB,18,18,24,1
CC-CD29-SW,0.99,0,999,0.05
CC-CD34-FB,18,18,26,0
CC-CD35,89,0,9,6
CC-CD35-108,109,109,2,7
CC-CD35-120,119,119,2,8
CC-CD35-84,89,89,1,6
CC-CD35-96,99,99,2,7
CC-CD35-CUS,0,0,5,2.4
CC-CD35-FB,18,18,12,1
CC-CD35-SW,0.99,0,999,0.05
CC-CD36-FB,18,18,13,0
CC-CD37-FB,18,18,14,0
CC-CD38,89,0,6,6
CC-CD38-108,109,109,2,7
CC-CD38-120,119,119,2,8
CC-CD38-84,89,89,1,6
CC-CD38-96,99,99,2,7
CC-CD38-CUS,0,0,5,2.4
CC-CD38-FB,18,18,3,1
CC-CD38-SW,0.99,0,999,0.05
CC-CD42-FB,18,18,19,0
CC-CD43-FB,18,18,25,0
CC-CD44-FB,18,18,11,0
CC-MA1-FB,18,18,9,0
CC-MA2-FB,18,18,15,0
CC-MA3,89,0,0,6
CC-MA3-108,109,109,3,0
CC-MA3-120,119,119,4,0
CC-MA3-84,89,89,1,0
CC-MA3-96,99,99,2,0
CC-MA3-CUS,1,1,5,0
CC-MA3-FB,18,18,1,1
CC-MA3-SW,0.99,0,999,0.05
CC-MA4-FB,18,18,17,0
CC-MA5,89,0,10,6
CC-MA5-108,109,109,2,7
CC-MA5-120,119,119,2,8
CC-MA5-84,89,89,1,6
CC-MA5-96,99,99,2,7
CC-MA5-CUS,0,0,5,2.4
CC-MA5-FB,18,18,20,1
CC-MA5-SW,0.99,0,999,0.05
CC-MA6,89,0,2,6
CC-MA6-108,109,109,2,7
CC-MA6-120,119,119,2,8
CC-MA6-84,89,89,1,6
CC-MA6-96,99,99,2,7
CC-MA6-CUS,0,0,5,2.4
CC-MA6-FB,18,18,10,1
CC-MA6-SW,0.99,0,999,0.05
CC-MA7-FB,18,18,7,0
CC-MA71-FB,18,18,27,0
CC-MA8-FB,18,18,16,0
CC-MABB26,89,0,8,6
CC-MABB26-108,109,109,2,7
CC-MABB26-120,119,119,2,8
CC-MABB26-84,89,89,1,6
CC-MABB26-96,99,99,2,7
CC-MABB26-CUS,0,0,5,2.4
CC-MABB26-FB,18,18,6,1
CC-MABB26-SW,0.99,0,999,0.05
CC-MABB32-FB,18,18,23,0
CC-MAMGBB02-FB,18,18,21,0
CC-MASB78-FB,18,18,28,0
CC-MASB81-FB,18,18,8,0
CC-ROM,18,0,0,0
CC-ROM-CAS,0,0,1,2.4
CC-ROM-FSL,0,0,3,2.4
CC-ROM-RLX,0,0,4,2.4
CC-ROM-SFL,0,0,2,2.4
CC-SB73-FB,18,18,22,0
CC-TEALBB29,89,0,7,6
CC-TEALBB29-108,109,109,3,0
CC-TEALBB29-120,119,119,4,0
CC-TEALBB29-84,89,89,1,0
CC-TEALBB29-96,99,99,2,0
CC-TEALBB29-CUS,1,1,5,0
CC-TEALBB29-FB,18,18,5,1
CC-TEALBB29-SW,0.99,0,999,0.05
CRC-MYTH04,159,0,0,6
CRC-MYTH04-108,184,184,2,7
CRC-MYTH04-120,194,194,2,8
CRC-MYTH04-84,159,159,1,6
CRC-MYTH04-96,174,174,2,7
CRC-MYTH04-CUS,0,0,5,2.4
CRC-MYTH04-SW,1.99,0,999,0.05
CRC-MYTH14,139,0,0,6
CRC-MYTH14-108,164,164,2,7
CRC-MYTH14-120,174,174,2,8
CRC-MYTH14-84,139,139,1,6
CRC-MYTH14-96,154,154,2,7
CRC-MYTH14-CUS,0,0,5,2.4
CRC-MYTH14-SW,1.99,0,999,0.05
CRC-MYTH72,159,0,0,6
CRC-MYTH72-108,184,184,2,7
CRC-MYTH72-120,194,194,2,8
CRC-MYTH72-84,159,159,1,6
CRC-MYTH72-96,174,174,2,7
CRC-MYTH72-CUS,0,0,5,2.4
CRC-MYTH72-SW,1.99,0,999,0.05
CRC-MYTH73,159,0,0,6
CRC-MYTH73-108,184,184,2,7
CRC-MYTH73-120,194,194,2,8
CRC-MYTH73-84,159,159,1,6
CRC-MYTH73-96,174,174,2,7
CRC-MYTH73-CUS,0,0,5,2.4
CRC-MYTH73-SW,1.99,0,999,0.05
CRC-MYTH79,139,0,0,6
CRC-MYTH79-108,164,164,2,7
CRC-MYTH79-120,174,174,2,8
CRC-MYTH79-84,139,139,1,6
CRC-MYTH79-96,154,154,2,7
CRC-MYTH79-CUS,0,0,5,2.4
CRC-MYTH79-SW,1.99,0,999,0.05
CRC-MYTH809,139,0,1,6
CRC-MYTH809-108,164,164,2,7
CRC-MYTH809-120,174,174,2,8
