Part Number,Description,Quantity of Products,ETA Backorder date,DISCONTINUED,Qty
""EFSCH-AL450C4-SW"",""Alexandria Merlot Faux Taffeta Silk Swatch"",""119"","""",""No"",""""
""VPCH-120601-SW"",""Signature Ivory Velvet Swatch"",""74"",""5/2/2015 12:00:00 AM"",""No"",""22""
""BOCH-120601-SW"",""Eggnog Blackout Swatch"",""170"","""",""No"",""""
""VPCH-VET1216-96"",""Signature Burgundy Double Wide Velvet Blackout Pole Pocket Curtain"",""130"","""",""No"",""""
""VPCH-VET1216-108"",""Signature Burgundy Double Wide Velvet Blackout Pole Pocket Curtain"",""149"","""",""No"",""""
""VPCH-VET1216-120"",""Signature Burgundy Double Wide Velvet Blackout Pole Pocket Curtain"",""53"","""",""No"",""""
""VPCH-VET1214-96"",""Signature Java Double Wide Velvet Blackout Pole Pocket Curtain"",""109"","""",""No"",""""
""VPCH-VET1214-108"",""Signature Java Double Wide Velvet Blackout Pole Pocket Curtain"",""128"","""",""No"",""""
""VPCH-VET1214-120"",""Signature Java Double Wide Velvet Blackout Pole Pocket Curtain"",""44"","""",""No"",""""
""DIS-ID224-120"",""Black Textured Dupioni Silk Curtain"",""0"","""",""No"",""""
""VCCH-VET1201-84"",""British Tan Vintage Cotton Velvet Curtain"",""71"","""",""No"",""""
""VCCH-VET1201-96"",""British Tan Vintage Cotton Velvet Curtain"",""115"","""",""No"",""""
""VCCH-VET1201-108"",""British Tan Vintage Cotton Velvet Curtain"",""201"","""",""No"",""""
""VCCH-VET1201-120"",""British Tan Vintage Cotton Velvet Curtain"",""84"","""",""No"",""""
""DIS-ID7806-108"",""Cashmere Textured Dupioni Silk Curtain"",""0"","""",""No"",""""
""DIS-ID7806-120"",""Cashmere Textured Dupioni Silk Curtain"",""0"","""",""No"",""""
""VCCH-VET1202-84"",""Chinchilla Grey Vintage Cotton Velvet Curtain"",""63"","""",""No"",""""
""VCCH-VET1202-96"",""Chinchilla Grey Vintage Cotton Velvet Curtain"",""130"","""",""No"",""""
""VCCH-VET1202-108"",""Chinchilla Grey Vintage Cotton Velvet Curtain"",""120"","""",""No"",""""
""VCCH-VET1202-120"",""Chinchilla Grey Vintage Cotton Velvet Curtain"",""61"","""",""No"",""""
""DIS-ID112-84"",""Chili Pepper Textured Dupioni Silk Curtain"",""0"","""",""No"",""""
""DIS-ID112-96"",""Chili Pepper Textured Dupioni Silk Curtain"",""0"","""",""No"",""""
""DIS-ID112-108"",""Chili Pepper Textured Dupioni Silk Curtain"",""0"","""",""No"",""""
""DIS-ID112-120"",""Chili Pepper Textured Dupioni Silk Curtain"",""0"","""",""No"",""""
""DIS-ID9-108"",""Maplewood Textured Dupioni Silk Curtain"",""0"","""",""No"",""""
""DIS-ID9-120"",""Maplewood Textured Dupioni Silk Curtain"",""0"","""",""No"",""""
""DIS-ID50-108"",""Mocha Textured Dupioni Silk Curtain"",""0"","""",""No"",""""
""DIS-ID50-120"",""Mocha Textured Dupioni Silk Curtain"",""0"","""",""No"",""""
""VCCH-VET12010-84"",""Ebony Black Vintage Cotton Velvet Curtain"",""55"","""",""No"",""""
