83290,quantity
"BOCH-PL1606-96","139"
"BOCH-PL1607-108","136"
"BOCH-PL1607-120","32"
"BOCH-PL1607-84","52"
"BOCH-PL1607-96","127"
"BOCH-PL1608-108","28"
"BOCH-PL1608-120","23"
"BOCH-PL1608-84","29"
"BOCH-PL1608-96","31"
"BOCH-PL1609-108","138"
"BOCH-PL1609-120","103"
"BOCH-PL1609-84","29"
"BOCH-PL1609-96","79"
"BOCH-PL1610-108","0"
"BOCH-PL1610-120","0"
"BOCH-PL1610-84","22"
"BOCH-PL1610-96","0"
"BOCH-PL4201-108","273"
"BOCH-PL4201-120","154"
"BOCH-PL4201-84","119"
"BOCH-PL4201-96","189"
"CC-CD17-108","0"
"CC-CD17-120","0"
"CC-CD17-84","0"
"CC-CD17-96","0"
"CC-CD22-108","24"
"CC-CD22-120","0"
"CC-CD22-84","0"
"CC-CD22-96","30"
"CC-CD29-108","26"
"CC-CD29-120","0"
"CC-CD29-84","0"
"CC-CD29-96","26"
"CC-CD35-108","21"
"CC-CD35-120","0"
"CC-CD35-84","0"
"CC-CD35-96","30"
"CC-MA3-108","0"
"CC-MA3-120","0"
"CC-MA3-84","0"
"CC-MA3-96","0"
"CC-MA5-108","60"
"CC-MA5-120","0"
"CC-MA5-84","0"
"CC-MA5-96","28"
"CC-MA6-108","22"
"CC-MA6-120","0"
"CC-MA6-84","0"
"CC-MA6-96","44"
"CC-MABB26-108","28"
"CC-MABB26-120","0"
"CC-MABB26-84","0"
"CC-MABB26-96","0"
"CC-TEALBB29-108","0"
"CC-TEALBB29-120","0"
"CC-TEALBB29-84","0"
"CC-TEALBB29-96","0"
"CZCH-CTZ1-108","21"
"CZCH-CTZ1-120","0"
"CZCH-CTZ1-84","21"
"CZCH-CTZ1-96","0"
"CZCH-CTZ12-108","38"
"CZCH-CTZ12-120","0"
"CZCH-CTZ12-84","27"
"CZCH-CTZ12-96","49"
"CZCH-CTZ2-108","0"
"CZCH-CTZ2-120","0"
"CZCH-CTZ2-84","0"
"CZCH-CTZ2-96","22"
"CZCH-CTZ5-108","54"
"CZCH-CTZ5-120","39"
"CZCH-CTZ5-84","0"
"CZCH-CTZ5-96","0"
"CZCH-CTZ6-108","0"
"CZCH-CTZ6-120","0"
"CZCH-CTZ6-84","25"
"CZCH-CTZ6-96","20"
"CZCH-CTZ9-108","0"
"CZCH-CTZ9-120","0"
"CZCH-CTZ9-84","0"
"CZCH-CTZ9-96","0"
"DIS-ID1-108","93"
"DIS-ID1-120","66"
"DIS-ID1-84","72"
"DIS-ID1-96","103"
"DIS-ID112-108","0"
"DIS-ID112-84","0"
"DIS-ID112-96","0"
"DIS-ID124-108","0"
"DIS-ID124-120","32"
"DIS-ID124-84","39"
"DIS-ID124-96","38"
"DIS-ID15-108","147"
"DIS-ID15-120","38"
"DIS-ID15-84","123"
"DIS-ID15-96","168"
"DIS-ID20-108","90"
"DIS-ID20-120","0"
"DIS-ID20-84","0"
"DIS-ID20-96","0"
"DIS-ID221-108","0"
"DIS-ID221-120","0"
"DIS-ID221-84","0"
"DIS-ID221-96","0"
"DIS-ID224-108","0"
"DIS-ID224-120","0"
"DIS-ID224-84","0"
"DIS-ID224-96","0"
"DIS-ID37-108","98"
"DIS-ID37-120","0"
"DIS-ID37-84","22"
"DIS-ID37-96","78"
"DIS-ID50-108","51"
"DIS-ID50-120","43"
"DIS-ID50-84","41"
"DIS-ID50-96","111"
"DIS-ID68-108","0"
"DIS-ID68-120","0"
"DIS-ID68-84","0"
"DIS-ID68-96","0"
"DIS-ID7727-108","185"
"DIS-ID7727-120","58"
"DIS-ID7727-84","90"
"DIS-ID7727-96","101"
"DIS-ID7806-108","68"
"DIS-ID7806-120","40"
"DIS-ID7806-84","62"
"DIS-ID7806-96","104"
"DIS-ID7906-108","68"
"DIS-ID7906-120","39"
"DIS-ID7906-84","28"
"DIS-ID7906-96","92"
"DIS-ID9-108","102"
"DIS-ID9-120","47"
"DIS-ID9-84","88"
"DIS-ID9-96","95"
"EFSCH-20134A-108","91"
"EFSCH-20134A-120","38"
"EFSCH-20134A-96","80"
"EFSCH-20134B-108","140"
"EFSCH-20134B-120","70"
"EFSCH-20134B-96","119"
"EFSCH-20134C-108","98"
"EFSCH-20134C-120","61"
"EFSCH-20134C-96","115"
"EFSCH-20134D1-108","128"
"EFSCH-20134D1-120","82"
"EFSCH-20134D1-96","126"
"EFSCH-20134D2-108","94"
"EFSCH-20134D2-120","46"
"EFSCH-20134D2-96","90"
"EFSCH-20134E1-120","78"
"EFSCH-20134E1-96","130"
"EFSCH-20134E2-108","136"
"EFSCH-20134E2-120","78"
"EFSCH-20134E2-96","108"
"EFSCH-20134F1-108","118"
"EFSCH-20134F1-120","66"
"EFSCH-20134F1-96","105"
