SKU,Inventory,PRICE,DISCONTINUED,Active,Name,subsku,upc,inventory parent
"PRTW-D13-SW","0","0.9900",,Inactive,"Jakarta Khaki Printed Cotton Swatch","PRTW-D13-SW","799665827595","0"
"SHCH-EMBOCS3293-SW","34","0.9900",,Inactive,"Juliette Ivory Embroidered Sheer Swatch","SHCH-EMBOCS3293-SW","799418016115","34"
"DIS-ID1-SW","26","0.9900",,Active,"Lily White Textured Dupioni Silk Swatch","DIS-ID1-SW","797734449044","26"
"SHCH-EMBOCS4084-SW","34","0.9900",,Inactive,"Lunetta Taupe Gold Embroidered Sheer Swatch","SHCH-EMBOCS4084-SW","799418016177","34"
"PRTW-D28-SW","34","0.9900",,Inactive,"Marabella Printed Cotton Swatch","PRTW-D28-SW","799665823214","34"
"PTSCH12-SW","27","0.0000",,Inactive,"Marin Faux Silk Taffeta Stripe Swatch","PTSCH12-SW","799665815554","27"
"PRTW-D02-SW","34","0.9900",,Inactive,"Mayan Teal Printed Cotton Swatch","PRTW-D02-SW","799665827793","34"
"PRTW-D23-SW","33","0.9900",,Inactive,"Mecca Printed Cotton Swatch","PRTW-D23-SW","799665826871","33"
"PRTW-D20-SW","34","0.9900",,Inactive,"Medina Printed Cotton Swatch","PRTW-D20-SW","799665826635","34"
"PRTW-D06B-SW","34","0.9900",,Inactive,"Nairobi Denim Printed CottonSwatch","PRTW-D06B-SW","799665827830","34"
"PRTW-D06A-SW","35","0.9900",,Inactive,"Nairobi Desert Printed Cotton Swatch","PRTW-D06A-SW","799665827878","35"
"DIS-ID221-SW","0","0.9900",,Active,"Navy Textured Dupioni Silk Swatch","DIS-ID221-SW","799665810917","0"
"PRTW-D01-SW","35","0.9900",,Inactive,"Ogee Black Printed Cotton Swatch","PRTW-D01-SW","799665827915","35"
"PRTW-D21-SW","35","0.9900",,Inactive,"Palu Printed Cotton Swatch","PRTW-D21-SW","799665826710","35"
"PRTW-D27-SW","0","0.9900",,Inactive,"Panama Printed Cotton Swatch","PRTW-D27-SW","799665827038","0"
"PTSCH-13400-SW","0","0.9900",,Active,"Park Avenue Faux Silk Taffeta Stripe Swatch","PTSCH-13400-SW","799665833503","0"
"PRTW-D30-SW","30","0.9900",,Inactive,"Picante Stripes Printed Cotton Swatch","PRTW-D30-SW","799665827274","30"
"PTCH-JTSP104-SW","447","0.9900",,Inactive,"Rum Raisin Faux Silk Taffeta Swatch","PTCH-JTSP104-SW","799665824556","447"
"PRTW-D04-SW","0","0.9900",,Inactive,"Sahara Desert Printed Cotton Swatch","PRTW-D04-SW","799665827632","0"
"BOCH-KC32","72","114.9900",,Inactive,"Savannah Stripe  Blackout Curtain","BOCH-KC32","799665826031","72"
