SKU,Inventory,sku1,DISCONTINUED,PRICE
"EFSCH-AL450C4-SW","119","EFSCH-AL450C4-SW",,"0.9900"
"BOCH601-SW","170","BOCH601-SW",,"0.0000"
"BOCH-120601-SW","170","BOCH-120601-SW",,"0.9900"
"SHCH-EMB20137-108","128","SHCH-EMB20137-108",,"79.0000"
"SHCH-EMB20137-108","122","SHCH-EMB20137-108",,"79.0000"

