SKU,Discontinue,ID,Name,UPC,image
"BOCH-KC22","Test by karan","testtt","Kabuchi Blackout Curtain","799665825218",""
"BOCH-KC29","Test by karan","testtt","Key Largo Stripe Blackout Curtain","799665825775",""
"FHLCH-YL7178103","Test by karan","testtt","Key West Gray Linen Blend Stripe Curtain","799665828578",""
"FHLCH-YL7176203","Test by karan","testtt","Key West Stone Linen Blend Stripe Curtain","799665828653",""
"VCCH-VET1206","Test by karan","testtt","Kona Brown Vintage Cotton Velvet Curtain","610395227496",""
"FHLCH-YL3022","Test by karan","testtt","Lanai Natural Linen Blend Stripe Curtain","799665828738",""
"DIS-ID1","Test by karan","testtt","Lily White Textured Dupioni Silk Curtain","797734450453",""
"PTFFLK-C20A","Test by karan","testtt","Luna Autumn Flocked Faux Silk Curtain","799418011578",""
"PTFFLK-C20B","Test by karan","testtt","Luna Winter Flocked Faux Silk Curtain","799418011646",""
"SHCH-EMBOCS4084","Test by karan","testtt","Lunetta Taupe Gold Embroidered Sheer Curtain","799665834821",""
"JQCH-20122010","Test by karan","testtt","Magdelena Champagne Faux Silk Jacquard Curtain","610395227250",""
"JQCH-2012204","Test by karan","testtt","Magdelena Gold & Blue Faux Silk Jacquard Curtain","610395227175",""
"JQCH-2012201","Test by karan","testtt","Magdelena Golden Faux Silk Jacquard Curtain","610395227137",""
"VCCH-VET1204","Test by karan","testtt","Majestic Plum Vintage Cotton Velvet Curtain","610395227410",""
"PTSCH-SLK211","Test by karan","testtt","Manchester Faux Silk Taffeta Stripe Curtain","610395223887",""
"DIS-ID9","Test by karan","testtt","Maplewood Textured Dupioni Silk Curtain","797734450378",""
"PRTW-D28","Test by karan","testtt","Marabella Printed Cotton Curtain","799665823153",""
"BOCH-KC6","Test by karan","testtt","Marco Polo Stripe Blackout Curtain","610395225652",""
"BOCH-201303","Test by karan","testtt","Marigold Blackout Curtain","799665815004",""
"BOCH-201303-GR","Test by karan","testtt","Marigold Grommet Blackout Curtain","799665815042",""
"PTSCH-12012","Test by karan","testtt","Marin Faux Silk Taffeta Stripe Curtain","610395222316",""
"PRTW-D23","Test by karan","testtt","Mecca Printed Cotton Curtain","799665826819",""
"PRTW-D20","Test by karan","testtt","Medina Printed Cotton Curtain","799665826574",""
"PTCH-JTSP003","Test by karan","testtt","Mediterranean Faux Solid Taffeta Curtain","610395223962",""
"PTSCH-11100","Test by karan","testtt","Millazo Faux Silk Taffeta Stripe Curtain","797734451863",""
"PTSCH-52012","Test by karan","testtt","Mirage Faux Silk Taffeta Stripe Curtain","610395222477",""
"DIS-ID50","Test by karan","testtt","Mocha Textured Dupioni Silk Curtain","797734450330",""
"PTCH-JTSP27","Test by karan","testtt","Mushroom Faux Silk Taffeta Curtain","610395224167",""
"DIS-ID221","Test by karan","testtt","Navy Textured Dupioni Silk Curtain","797734449891",""
"BOCH-174402","Test by karan","testtt","Neutral Grey Blackout Curtain","797734456424",""
"BOCH-174402-GR","Test by karan","testtt","Neutral Grommet Grey Blackout Curtain","797734456462",""
"SHFLNCH-M015","Test by karan","testtt","Nickel Faux Linen Sheer Curtain","610395226536",""
"PDCH-KBS2","Test by karan","testtt","Off White Vintage Textured Faux Dupioni Silk Curtain","797734455649",""
"VCCH-VET1207","Test by karan","testtt","Old Gold Vintage Cotton Velvet Curtain","610395227533",""
"PTSCH-11098","Test by karan","testtt","Orinda Faux Silk Taffeta Stripe Curtain","797734451740",""
"PTSCH-13402","Test by karan","testtt","Orleans Faux Silk Taffeta Stripe Curtain","799665833602",""
"PRTW-D21","Test by karan","testtt","Palu Printed Cotton Curtain","799665826659",""
"PRTW-D27","Test by karan","testtt","Panama Printed Cotton Curtain","799665826970",""
"PTCH-JTSP87","Test by karan","testtt","Paprika Faux Silk Taffeta Curtain","610395224310",""
"PTFFLK-C30","Test by karan","testtt","Parisian Tan Flocked Faux Silk Curtain","799418012278",""
"PTSCH-13400","Test by karan","testtt","Park Ave Faux Silk Taffeta Stripe Curtain","799665833442",""
"PTFFLK-C22B","Test by karan","testtt","Pavillion Pearl Flocked Faux Silk Curtain","799418011929",""
"PTFFLK-C22A","Test by karan","testtt","Pavillion Silver Flocked Faux Silk Curtain","799418011851",""
"PDCH-KBS14","Test by karan","testtt","Peacock Vintage Textured Faux Dupioni Silk Curtain","797734456127",""
"DIS-ID7727","Test by karan","testtt","Pearl Textured Dupioni Silk Curtain","797734449938",""
"PRTW-D30","Test by karan","testtt","Picante Stripes Printed Cotton Curtain","799665827212",""
"BOCH-KC91B","Test by karan","testtt","Pink Polka Dot Blackout Curtain","610395225973",""
"PTFFLK-C21B","Test by karan","testtt","Piscean Bone Flocked Faux Silk Curtain","799418011783",""
"PTFFLK-C21A","Test by karan","testtt","Piscean Pearl Flocked Faux Silk Curtain","799418011714",""
"BOCH-KC8","Test by karan","testtt","Pistachio Stripe Blackout Curtain","610395225898",""
"PTCH-JTSP112","Test by karan","testtt","Platinum Faux Silk Taffeta Curtain","610395224358",""
"CZCH-CTZ1","Test by karan","testtt","Polar White Cotenza Curtain","610395221395",""
"CZCH-CTZ1-GR","Test by karan","testtt","Polar White Cotenza Grommet Curtain","610395221432",""
"PTFFLK-C26","Test by karan","testtt","Pompeii Blue Flocked Faux Silk Curtain","799418012209",""
"BOCH-KC28","Test by karan","testtt","Portside Stripe Blackout Curtain","799665825690",""
"PTSCH-11089","Test by karan","testtt","Presidio Faux Silk Taffeta Stripe Curtain","797734451825",""
"PTSCH-11083","Test by karan","testtt","Regency Faux Silk Taffeta Stripe Curtain","610395223382",""
"PTFFLK-C2","Test by karan","testtt","Renaissance Paprika Flocked Faux Silk Curtain","797734455243",""
"DIS-ID37","Test by karan","testtt","Restful Green Textured Dupioni Silk Curtain","797734450057",""
"PTSCH-11095","Test by karan","testtt","Rialto Faux Silk Taffeta Stripe Curtain","610395223504",""
"PTCH-JTSP5","Test by karan","testtt","Robin's Egg Faux Silk Taffeta Curtain","610395224280",""
"PTSCH-13401","Test by karan","testtt","Roxbury Faux Silk Taffeta Stripe Curtain","799665833527",""
"PDCH-KBS5","Test by karan","testtt","Ruby Vintage Textured Faux Dupioni Silk Curtain","797734455762",""
"CZCH-CTZ9","Test by karan","testtt","Rusty Cotenza Curtain","610395221470",""
"CZCH-CTZ9-GR","Test by karan","testtt","Rusty Cotenza Grommet Curtain","610395221517",""
"PTSCH-32012","Test by karan","testtt","Sake Faux Silk Taffeta Stripe Curtain","610395222392",""
"BOCH-KC20","Test by karan","testtt","Santos Blackout Curtain","799665825058",""
"BOCH-KC32","Test by karan","testtt","Savannah Stripe  Blackout Curtain","799665826024",""
"BOCH-KC32","Test by karan","testtt","Savannah Stripe Blackout Curtain","799665826017",""
"BOCH-KC32","Test by karan","testtt","Savannah Stripe  Blackout Curtain","799665826031",""
"BOCH-KC25","Test by karan","testtt","Seville Grey & Gold Blackout Curtain","799665825454",""
"BOCH-KC21","Test by karan","testtt","Seville Grey & Silver Blackout Curtain","799665825133",""
"DIS-ID68","Test by karan","testtt","Shoreline Textured Dupioni Silk Curtain","797734450491",""
"VPCH-VET1211","Test by karan","testtt","Signature Amber Gold Doublewide Blackout Velvet Curtain","610395225096",""
"VPCH-VET1212","Test by karan","testtt","Signature Black Doublewide Blackout Velvet Curtain","610395225010",""
"VPCH-192018","Test by karan","testtt","Signature Burgundy Blackout Velvet Curtain","610395223061",""
"VPCH-VET1216","Test by karan","testtt","Signature Burgundy Doublewide Blackout Velvet Curtain","610395224976",""
"VPCH-192315","Test by karan","testtt","Signature Eggplant Blackout Velvet Curtain","610395223108",""
"VPCH-193810","Test by karan","testtt","Signature Federal Blue Blackout Velvet Curtain","610395223146",""
"VPCH-190622","Test by karan","testtt","Signature Hunter Green Blackout Velvet Curtain","610395222989",""
"VPCH601","Test by karan","testtt","Signature Ivory Blackout Velvet Curtain","610395222828",""
"VPCH-VET1217","Test by karan","testtt","Signature Ivory Doublewide Blackout Velvet Curtain","610395224853",""
"VPCH-190912","Test by karan","testtt","Signature Java Blackout Velvet Curtain","610395223023",""
"VPCH-VET1214","Test by karan","testtt","Signature Java Doublewide Blackout Velvet Curtain","610395224938",""
"VPCH-194023","Test by karan","testtt","Signature Midnight Blue Blackout Velvet Curtain","610395223221",""
"VPCH-VET1215","Test by karan","testtt","Signature Midnight Blue Doublewide Blackout Velvet Curtain","610395225058",""
"VPCH-184005","Test by karan","testtt","Signature Natural Grey Blackout Velvet Curtain","610395222767",""
"VPCH-110602","Test by karan","testtt","Signature Off White Blackout Velvet Curtain","610395222804",""
"VPCH-145002","Test by karan","testtt","Signature Silver Grey Blackout Velvet Curtain","610395222903",""
"VPCH-VET1213","Test by karan","testtt","Signature Silver Grey Doublewide Blackout Velvet Curtain","610395224891",""
"VPCH-194007","Test by karan","testtt","Signature Warm Black Blackout Velvet Curtain","610395223184",""
"VPCH-141113","Test by karan","testtt","Signature Wheat Blackout Velvet Curtain","610395222866",""
"PDCH-KBS9","Test by karan","testtt","Silver Vintage Textured Faux Dupioni Silk Curtain","797734455885",""
"PDCH-KBS11","Test by karan","testtt","Smokey Plum Vintage Textured Faux Dupioni Silk Curtain","797734456004",""
"PRTW-D22","Test by karan","testtt","Sorong Printed Cotton Curtain","799665826734",""
"BOCH-KC1","Test by karan","testtt","Sundip Stripe Blackout Curtain","610395225577",""
"DIS-ID20","Test by karan","testtt","Sunrise Gold Textured Dupioni Silk Curtain","610395223269",""
"SSTF-5","Test by karan","testtt","Tahitian Teal Silk Taffeta Curtain","610395233572",""
"PTFFLK-C25","Test by karan","testtt","Taurean Copper Flocked Faux Silk Curtain","799418012131",""
"PRTW-D29B","Test by karan","testtt","Tide Pools Printed Cotton Curtain","799665827137",""
"PRTW-D29A","Test by karan","testtt","Tide Sands Printed Cotton Curtain","799665827052",""
"BOCH-KC23","Test by karan","testtt","Trellise Blackout Curtain","799665825294",""
"FHLCH-YL3008","Test by karan","testtt","Trinidad Hemp Linen Blend Stripe Curtain","799665828899",""
"FHLCH-YL3010B","Test by karan","testtt","Trinidad Natural Linen Blend Stripe Curtain","799665828974",""
"BOCH-KC33","Test by karan","testtt","Tugra Blackout Curtain","799665826093",""
"SHFLNCH-M013","Test by karan","testtt","Tumbleweed Faux Linen Sheer Curtain","610395226451",""
"CZCH-CTZ6","Test by karan","testtt","Turquoise Cotenza Curtain","610395221715",""
"CZCH-CTZ6-GR","Test by karan","testtt","Turquoise Cotenza Grommet Curtain","610395221753",""
"CZCH-CTZ2","Test by karan","testtt","Vanilla Cotenza Curtain","610395221791",""
"CZCH-CTZ2-GR","Test by karan","testtt","Vanilla Cotenza Grommet Curtain","610395221838",""
"PTSCH-11082","Test by karan","testtt","Verona Faux Silk Taffeta Stripe Curtain","610395223344",""
"PTCH-JTSP29","Test by karan","testtt","White Faux Silk Taffeta Curtain","610395224204",""
"SHFLNCH-M011","Test by karan","testtt","White Orchid Faux Linen Sheer Curtain","610395226376",""
"DIS-ID7906","Test by karan","testtt","Winter Blue Textured Dupioni Silk Curtain","797734450095",""
"PTCH-JTSP207","Test by karan","testtt","Wisteria Blue Faux Silk Taffeta Curtain","799665824259",""
"PTCH-JTSP204","Test by karan","testtt","Hollywood Red Faux Silk Taffeta Curtain","799665824013",""
"BOCH-KC34C","Test by karan","testtt","Sunburst Blackout Curtain","799665826178",""
"JQCH-HANB4","Test by karan","testtt","Xena Faux Silk Jacquard Curtain","799418012698",""
"JQCH-HANB6","Test by karan","testtt","Dahl Multi Jacquard Curtain","799418012971",""
"JQCH-HANB13D","Test by karan","testtt","Surrey Ivory Jacquard Curtain","799418013749",""
"PDCH-KBS3-84","Test by karan","testtt","","797734455687",""
"PDCH-KBS3-96","Test by karan","testtt","","797734455694",""
"PDCH-KBS3-108","Test by karan","testtt","","797734455700",""
"PDCH-KBS3-120","Test by karan","testtt","","797734455717",""
"PTSCH-11091-84","Test by karan","testtt","","610395223467",""
"PTSCH-11091-96","Test by karan","testtt","","610395223474",""
"PTSCH-11091-108","Test by karan","testtt","","610395223481",""
"PTSCH-11091-120","Test by karan","testtt","","610395223498",""
"VPCH-VET1216-96","Test by karan","testtt","","610395225003",""
"VPCH-VET1216-108","Test by karan","testtt","","610395224983",""
"VPCH-VET1216-120","Test by karan","testtt","","610395224990",""
"VPCH-VET1214-96","Test by karan","testtt","","610395224969",""
"VPCH-VET1214-108","Test by karan","testtt","","610395224945",""
"VPCH-VET1214-120","Test by karan","testtt","","610395224952",""
"PTS-22012-96","Test by karan","testtt","","610395222361",""
"PTS-22012-108","Test by karan","testtt","","610395222378",""
"PTS-22012-120","Test by karan","testtt","","610395222385",""
"DIS-ID15-84","Test by karan","testtt","","797734449730",""
"DIS-ID15-96","Test by karan","testtt","","797734449747",""
"DIS-ID15-108","Test by karan","testtt","","797734449754",""
"DIS-ID15-120","Test by karan","testtt","","797734449761",""
"DIS-ID224-84","Test by karan","testtt","","797734449778",""
"DIS-ID224-96","Test by karan","testtt","","797734449785",""
"DIS-ID224-108","Test by karan","testtt","","797734449792",""
"DIS-ID224-120","Test by karan","testtt","","797734449808",""
"VCCH-VET1201-84","Test by karan","testtt","","610395227298",""
"VCCH-VET1201-96","Test by karan","testtt","","610395227304",""
"VCCH-VET1201-108","Test by karan","testtt","","610395227311",""
"VCCH-VET1201-120","Test by karan","testtt","","610395227328",""
"VCCH-VET1208-84","Test by karan","testtt","","610395227571",""
"VCCH-VET1208-96","Test by karan","testtt","","610395227588",""
"VCCH-VET1208-108","Test by karan","testtt","","610395227595",""
"VCCH-VET1208-120","Test by karan","testtt","","610395227601",""
"PDCH-KBS16-84","Test by karan","testtt","","797734458718",""
"CZCH-CTZ3-84","Test by karan","testtt","","610395221074",""
"CZCH-CTZ3-120","Test by karan","testtt","","610395221104",""
"DIS-ID7806-84","Test by karan","testtt","","797734449976",""
"DIS-ID7806-96","Test by karan","testtt","","797734449983",""
"DIS-ID7806-108","Test by karan","testtt","","797734449990",""
"DIS-ID7806-120","Test by karan","testtt","","797734450002",""
"PTSCH-11087-84","Test by karan","testtt","","610395223429",""
"PTSCH-11087-96","Test by karan","testtt","","610395223436",""
"PTSCH-11087-108","Test by karan","testtt","","610395223443",""
"PTSCH-11087-120","Test by karan","testtt","","610395223450",""
"CZCH-CTZ12-84","Test by karan","testtt","","610395220916",""
"CZCH-CTZ12-96","Test by karan","testtt","","610395220923",""
"CZCH-CTZ12-120","Test by karan","testtt","","610395220947",""
"VCCH-VET1202-84","Test by karan","testtt","","610395227335",""
"VCCH-VET1202-96","Test by karan","testtt","","610395227342",""
"VCCH-VET1202-108","Test by karan","testtt","","610395227359",""
"VCCH-VET1202-120","Test by karan","testtt","","610395227366",""
"DIS-ID124-84","Test by karan","testtt","","797734449815",""
"DIS-ID124-96","Test by karan","testtt","","797734449822",""
"DIS-ID124-108","Test by karan","testtt","","797734449839",""
"DIS-ID124-120","Test by karan","testtt","","797734449846",""
"CZCH-CTZ5-84","Test by karan","testtt","","610395220992",""
"CZCH-CTZ5-96","Test by karan","testtt","","610395221005",""
"CZCH-CTZ5-120","Test by karan","testtt","","610395221029",""
"VCCH-VET1203-84","Test by karan","testtt","","610395227373",""
"VCCH-VET1203-96","Test by karan","testtt","","610395227380",""
"VCCH-VET1203-108","Test by karan","testtt","","610395227397",""
"VCCH-VET1203-120","Test by karan","testtt","","610395227403",""
"CZCH-CTZ10-84","Test by karan","testtt","","610395221159",""
"CZCH-CTZ10-96","Test by karan","testtt","","610395221166",""
"CZCH-CTZ10-120","Test by karan","testtt","","610395221180",""
"PDCH-KBS6-84","Test by karan","testtt","","797734455809",""
"PDCH-KBS6-96","Test by karan","testtt","","797734455816",""
"PDCH-KBS6-108","Test by karan","testtt","","797734455823",""
"PDCH-KBS6-120","Test by karan","testtt","","797734455830",""
"PTSCH-11093-84","Test by karan","testtt","","797734451788",""
"PTSCH-11093-96","Test by karan","testtt","","797734451795",""
"PTSCH-11093-108","Test by karan","testtt","","797734451801",""
"PTSCH-11093-120","Test by karan","testtt","","797734451818",""
"DIS-ID112-84","Test by karan","testtt","","797734450255",""
"DIS-ID112-96","Test by karan","testtt","","797734450262",""
"DIS-ID112-108","Test by karan","testtt","","797734450279",""
"DIS-ID112-120","Test by karan","testtt","","797734450286",""
"DIS-ID1-84","Test by karan","testtt","","797734450453",""
"DIS-ID1-96","Test by karan","testtt","","797734450460",""
"DIS-ID1-108","Test by karan","testtt","","797734450477",""
"DIS-ID1-120","Test by karan","testtt","","797734450484",""
"DIS-ID9-84","Test by karan","testtt","","797734450378",""
"DIS-ID9-96","Test by karan","testtt","","797734450385",""
"DIS-ID9-108","Test by karan","testtt","","797734450392",""
"DIS-ID9-120","Test by karan","testtt","","797734450408",""
"DIS-ID50-84","Test by karan","testtt","","797734450330",""
"DIS-ID50-96","Test by karan","testtt","","797734450347",""
"DIS-ID50-108","Test by karan","testtt","","797734450354",""
"DIS-ID50-120","Test by karan","testtt","","797734450361",""
"DIS-ID37-84","Test by karan","testtt","","797734450057",""
"DIS-ID37-96","Test by karan","testtt","","797734450064",""
"DIS-ID37-108","Test by karan","testtt","","797734450071",""
"DIS-ID37-120","Test by karan","testtt","","797734450088",""
"DIS-ID68-84","Test by karan","testtt","","797734450491",""
"DIS-ID68-108","Test by karan","testtt","","797734450514",""
"DIS-ID68-120","Test by karan","testtt","","797734450521",""
"VCCH-VET12010-84","Test by karan","testtt","","610395227656",""
"VCCH-VET12010-96","Test by karan","testtt","","610395227663",""
"VCCH-VET12010-108","Test by karan","testtt","","610395227670",""
"VCCH-VET12010-120","Test by karan","testtt","","610395227687",""
"PTCH-JTSP102-84","Test by karan","testtt","","610395224044",""
"PTCH-JTSP102-108","Test by karan","testtt","","610395224020",""
"PTCH-JTSP120-84","Test by karan","testtt","","610395224082",""
"PTCH-JTSP120-108","Test by karan","testtt","","610395224068",""
"PTCH-JTSP120-120","Test by karan","testtt","","610395224075",""
"PTCH-JTSP100-84","Test by karan","testtt","","610395224006",""
"PTCH-JTSP100-108","Test by karan","testtt","","610395223986",""
"PTCH-JTSP100-120","Test by karan","testtt","","610395223993",""
"PTCH-JTSP005-84","Test by karan","testtt","","610395224433",""
"PTCH-JTSP005-120","Test by karan","testtt","","610395224426",""
"PTCH-JTSP54-84","Test by karan","testtt","","610395224266",""
"PTCH-JTSP54-108","Test by karan","testtt","","610395224242",""
"PTCH-JTSP54-120","Test by karan","testtt","","610395224259",""
"PTCH-JTSP41-96","Test by karan","testtt","","610395224402",""
"PTCH-JTSP41-108","Test by karan","testtt","","610395224372",""
"PTCH-JTSP003-96","Test by karan","testtt","","610395223979",""
"PTCH-JTSP27-84","Test by karan","testtt","","610395224167",""
"PTCH-JTSP27-120","Test by karan","testtt","","610395224150",""
"PTCH-JTSP87-96","Test by karan","testtt","","610395224327",""
"PTCH-JTSP87-108","Test by karan","testtt","","610395224297",""
"PTCH-JTSP87-120","Test by karan","testtt","","610395224303",""
"PTCH-JTSP112-84","Test by karan","testtt","","610395224358",""
"PTCH-JTSP112-96","Test by karan","testtt","","610395224365",""
"PTCH-JTSP112-108","Test by karan","testtt","","610395224334",""
"PTCH-JTSP29-84","Test by karan","testtt","","610395224204",""
