ID,image,Discontinue,SKU,Name,UPC
"testtt","",,"BOCH-KC36","Haight Sunshine Blackout Curtain","799665826338"
"testtt","",,"BOCH-KC27","Henna Blackout Curtain","799665825614"
"testtt","",,"FHLCH-YL5003","Hilo Natural Linen Blend Solid Curtain","799665829056"
"testtt","",,"PTCH-JTSP54","Honey Faux Silk Taffeta Curtain","610395224266"
"testtt","",,"PRTW-D25","Honeycomb Printed Cotton Curtain","799665823078"
"testtt","",,"PDCH-KBS1","Ice Vintage Textured Faux Dupioni Silk Curtain","797734455601"
"testtt","",,"PRTW-D24B","Ikat Black Printed Cotton Curtain","799665822996"
"testtt","",,"PRTW-D24A","Ikat Blue Printed Cotton Curtain","799665822910"
"testtt","",,"VCCH-VET1205","Indigo Blue Vintage Cotton Velvet Curtain","610395227458"
"testtt","",,"VCCH-VET1209","Iron Grey Vintage Cotton Velvet Curtain","610395227618"
"testtt","",,"BOCH-191016","Java Blackout Curtain","797734455434"
"testtt","",,"PTCH-JTSP190912","Java Faux Silk Taffeta Curtain","610395224129"
"testtt","",,"BOCH-191016-GR","Java Grommet Blackout Curtain","797734456745"
"testtt","",,"BOCH-190303","Jet Black Blackout Curtain","797734455397"
"testtt","",,"PTCH-JTSP41","Jet Black Faux Silk Taffeta Curtain","610395224396"
"testtt","",,"BOCH-190303-GR","Jet Black Grommet Blackout Curtain","797734456707"
"testtt","",,"SHCH-EMBOCS3293","Juliette Ivory Embroidered Sheer Curtain","799665834746"
"testtt","",,"BOCH-KC22","Kabuchi Blackout Curtain","799665825218"
"testtt","",,"BOCH-KC29","Key Largo Stripe Blackout Curtain","799665825775"
"testtt","",,"FHLCH-YL7178103","Key West Gray Linen Blend Stripe Curtain","799665828578"
"testtt","",,"FHLCH-YL7176203","Key West Stone Linen Blend Stripe Curtain","799665828653"
"testtt","",,"VCCH-VET1206","Kona Brown Vintage Cotton Velvet Curtain","610395227496"
"testtt","",,"FHLCH-YL3022","Lanai Natural Linen Blend Stripe Curtain","799665828738"
"testtt","",,"DIS-ID1","Lily White Textured Dupioni Silk Curtain","797734450453"
"testtt","",,"PTFFLK-C20A","Luna Autumn Flocked Faux Silk Curtain","799418011578"
"testtt","",,"PTFFLK-C20B","Luna Winter Flocked Faux Silk Curtain","799418011646"
"testtt","",,"SHCH-EMBOCS4084","Lunetta Taupe Gold Embroidered Sheer Curtain","799665834821"
"testtt","",,"JQCH-20122010","Magdelena Champagne Faux Silk Jacquard Curtain","610395227250"
"testtt","",,"JQCH-2012204","Magdelena Gold & Blue Faux Silk Jacquard Curtain","610395227175"
"testtt","",,"JQCH-2012201","Magdelena Golden Faux Silk Jacquard Curtain","610395227137"
"testtt","",,"VCCH-VET1204","Majestic Plum Vintage Cotton Velvet Curtain","610395227410"
"testtt","",,"PTSCH-SLK211","Manchester Faux Silk Taffeta Stripe Curtain","610395223887"
"testtt","",,"DIS-ID9","Maplewood Textured Dupioni Silk Curtain","797734450378"
"testtt","",,"PRTW-D28","Marabella Printed Cotton Curtain","799665823153"
"testtt","",,"BOCH-KC6","Marco Polo Stripe Blackout Curtain","610395225652"
"testtt","",,"BOCH-201303","Marigold Blackout Curtain","799665815004"
"testtt","",,"BOCH-201303-GR","Marigold Grommet Blackout Curtain","799665815042"
"testtt","",,"PTSCH-12012","Marin Faux Silk Taffeta Stripe Curtain","610395222316"
"testtt","",,"PRTW-D23","Mecca Printed Cotton Curtain","799665826819"
"testtt","",,"PRTW-D20","Medina Printed Cotton Curtain","799665826574"
"testtt","",,"PTCH-JTSP003","Mediterranean Faux Solid Taffeta Curtain","610395223962"
"testtt","",,"PTSCH-11100","Millazo Faux Silk Taffeta Stripe Curtain","797734451863"
"testtt","",,"PTSCH-52012","Mirage Faux Silk Taffeta Stripe Curtain","610395222477"
"testtt","",,"DIS-ID50","Mocha Textured Dupioni Silk Curtain","797734450330"
"testtt","",,"PTCH-JTSP27","Mushroom Faux Silk Taffeta Curtain","610395224167"
"testtt","",,"DIS-ID221","Navy Textured Dupioni Silk Curtain","797734449891"
"testtt","",,"BOCH-174402","Neutral Grey Blackout Curtain","797734456424"
"testtt","",,"BOCH-174402-GR","Neutral Grommet Grey Blackout Curtain","797734456462"
"testtt","",,"SHFLNCH-M015","Nickel Faux Linen Sheer Curtain","610395226536"
"testtt","",,"PDCH-KBS2","Off White Vintage Textured Faux Dupioni Silk Curtain","797734455649"
"testtt","",,"VCCH-VET1207","Old Gold Vintage Cotton Velvet Curtain","610395227533"
"testtt","",,"PTSCH-11098","Orinda Faux Silk Taffeta Stripe Curtain","797734451740"
"testtt","",,"PTSCH-13402","Orleans Faux Silk Taffeta Stripe Curtain","799665833602"
"testtt","",,"PRTW-D21","Palu Printed Cotton Curtain","799665826659"
"testtt","",,"PRTW-D27","Panama Printed Cotton Curtain","799665826970"
"testtt","",,"PTCH-JTSP87","Paprika Faux Silk Taffeta Curtain","610395224310"
