Part Number,Description,Quantity of Products,ETA Backorder date,DISCONTINUED,Qty
"BOCH-120601-108","Half Price Drapes BOCH-120601 Egg Nog Blackout Curtain (2 Panels)","199",,"No",
"BOCH-120601-108-GR","Half Price Drapes BOCH-120601 Egg Nog Grommet Blackout Curtain (2 Panels)","197",,"No",
"BOCH-120601-108-GR","Half Price Drapes BOCH-120601 Egg Nog Grommet Blackout Curtain (2 Panels)","199",,"No",
"BOCH-120601-120","Half Price Drapes BOCH-120601 Egg Nog Blackout Curtain (2 Panels)","162",,"No",
"BOCH-120601-120-GR","Half Price Drapes BOCH-120601 Egg Nog Grommet Blackout Curtain (2 Panels)","88",,"No",
"BOCH-120601-84","Half Price Drapes BOCH-120601 Egg Nog Blackout Curtain (2 Panels)","170",,"No",
"BOCH-120601-84-GR","Half Price Drapes BOCH-120601 Egg Nog Grommet Blackout Curtain (2 Panels)","39",,"No",
"BOCH-120601-84-GR","Half Price Drapes BOCH-120601 Egg Nog Grommet Blackout Curtain (2 Panels)","55",,"No",
"BOCH-120601-96","Half Price Drapes BOCH-120601 Egg Nog Blackout Curtain (2 Panels)","358",,"No",
"BOCH-120601-96-GR","Half Price Drapes BOCH-120601 Egg Nog Grommet Blackout Curtain (2 Panels)","174",,"No",
"BOCH-120601-SW","Half Price Drapes BOCH-120601 Egg Nog Blackout Curtain (2 Panels)","170",,"No",
"BOCH-131009-108","Half Price Drapes BOCH-131009 Biscotti Blackout Curtain (2 Panels)","137",,"No",
"BOCH-131009-108-GR","Half Price Drapes BOCH-131009 Biscotti Grommet Blackout Curtain (2 Panels)","305",,"No",
"BOCH-131009-120","Half Price Drapes BOCH-131009 Biscotti Blackout Curtain (2 Panels)","93",,"No",
"BOCH-131009-120-GR","Half Price Drapes BOCH-131009 Biscotti Grommet Blackout Curtain (2 Panels)","73",,"No",
"BOCH-131009-84","Half Price Drapes BOCH-131009 Biscotti Blackout Curtain (2 Panels)","105",,"No",
"BOCH-131009-84-GR","Half Price Drapes BOCH-131009 Biscotti Grommet Blackout Curtain (2 Panels)","182",,"No",
"BOCH-131009-96","Half Price Drapes BOCH-131009 Biscotti Blackout Curtain (2 Panels)","268",,"No",
"BOCH-131009-96-GR","Half Price Drapes BOCH-131009 Biscotti Grommet Blackout Curtain (2 Panels)","173",,"No",
"BOCH-174402-108","Half Price Drapes BOCH-174402 Neutral Blackout Curtain (2 Panels)","93",,"No",
"BOCH-174402-120","Half Price Drapes BOCH-174402 Neutral Blackout Curtain (2 Panels)","86",,"No",
"BOCH-174402-120-GR","Half Price Drapes BOCH-174402 Neutral Grommet Blackout Curtain (2 Panels)","126",,"No",
"BOCH-174402-84","Half Price Drapes BOCH-174402 Neutral Blackout Curtain (2 Panels)","38",,"No",
"BOCH-174402-84-GR","Half Price Drapes BOCH-174402 Neutral Grommet Blackout Curtain (2 Panels)","49",,"No",
"BOCH-174402-96","Half Price Drapes BOCH-174402 Neutral Blackout Curtain (2 Panels)","108",,"No",
"BOCH-174402-96-GR","Half Price Drapes BOCH-174402 Neutral Grommet Blackout Curtain (2 Panels)","160",,"No",
